# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.36804	None	None	2.583682235e-24	1.575424913e-24	2.00386285e-24	1	3.733557063e-19	0.6480291677	0.5094766318	6.688308764e-17
1	0.393292	None	None	8.648208318e-16	2.198928099e-15	2.005566808e-24	1	1.189148223e-15	0.6058713931	0.5084764896	7.619554708e-17
2	0.371004	None	None	2.595955163e-24	1.585801679e-24	2.007616397e-24	1	4.581946511e-19	0.6422080776	0.507275518	6.814169941e-17
3	0.395832	None	None	8.838001617e-16	2.232765819e-15	2.009328625e-24	1	1.464277941e-15	0.5966893703	0.5062742883	8.560360532e-17
4	0.390168	None	None	2.656198923e-24	1.671821094e-24	2.00390783e-24	1	9.562284705e-17	0.6106462351	0.5094502058	6.49513838e-17
5	0.419972	None	None	1.306241656e-13	3.110306536e-13	2.005579043e-24	1	1.659391333e-13	0.5339967703	0.5084901774	1.337366363e-16
6	0.393328	None	None	2.668231103e-24	1.679186686e-24	2.007759962e-24	1	1.164258232e-16	0.6064357124	0.5071914937	7.100208686e-17
7	0.422436	None	None	1.845424116e-13	4.368529471e-13	2.009478209e-24	1	2.264577596e-13	0.5184479091	0.5062305067	1.662895724e-16
8	0.370328	None	None	2.590550337e-24	1.57677934e-24	2.006624798e-24	1	4.315488882e-19	0.6463027638	0.5078562004	5.648850536e-17
9	0.395952	None	None	1.1988204e-15	3.02769123e-15	2.008457496e-24	1	1.642868142e-15	0.5867034335	0.5067835384	7.156120896e-17
10	0.37314	None	None	2.60085031e-24	1.582959279e-24	2.010184885e-24	1	5.246924396e-19	0.6422776668	0.5057740711	5.868804542e-17
11	0.398396	None	None	1.213080896e-15	3.044912334e-15	2.012040496e-24	1	1.696436177e-15	0.5833852162	0.5046918261	8.008915353e-17
12	0.39346	None	None	2.672777327e-24	1.692290499e-24	2.006928707e-24	1	1.369181845e-16	0.6020679624	0.5076781694	5.987625978e-17
13	0.4244	None	None	1.841403188e-13	4.338838803e-13	2.008793213e-24	1	2.283077221e-13	0.526089731	0.5066243846	1.659278968e-16
14	0.396276	None	None	2.678358592e-24	1.685160795e-24	2.010569813e-24	1	1.687352607e-16	0.6031723131	0.505549386	6.851281088e-17
15	0.426512	None	None	2.539322844e-13	5.953696131e-13	2.012463544e-24	1	3.009301816e-13	0.5057236339	0.5044864717	1.837464732e-16
16	0.40926	None	None	2.718699709e-24	1.741994582e-24	2.005771006e-24	1	1.24282397e-16	0.585333057	0.5083566424	2.994726116e-16
17	0.425932	None	None	2.541118811e-14	5.966019954e-14	2.007519804e-24	1	3.339848296e-14	0.5582732039	0.5073468861	4.760215685e-16
18	0.410856	None	None	2.724951595e-24	1.741289582e-24	2.009532322e-24	1	1.630827495e-16	0.5841275276	0.5061551721	3.02743723e-16
19	0.428168	None	None	3.279122546e-14	7.658495137e-14	2.011306122e-24	1	4.153055945e-14	0.5450729547	0.5051361725	5.180961777e-16
20	0.426228	None	None	5.42092638e-14	1.271837228e-13	2.00584514e-24	1	7.005954053e-14	0.5516908423	0.5083429168	4.960723793e-16
21	0.444796	None	None	1.418343089e-12	3.188749649e-12	2.010612537e-24	1	1.573639519e-12	0.4935640401	0.5073677122	1.186642104e-15
22	0.42872	None	None	6.661090786e-14	1.553715895e-13	2.009687615e-24	1	8.334855959e-14	0.5373490206	0.5061052428	5.32487856e-16
23	0.447804	None	None	1.638099412e-12	3.658072309e-12	2.015816667e-24	1	1.791676052e-12	0.4897267525	0.5051200481	1.481870361e-15
24	0.4107	None	None	2.72534058e-24	1.74561676e-24	2.008415776e-24	1	1.648675228e-16	0.5831066931	0.5068078176	2.496373596e-16
25	0.42886	None	None	2.889963869e-14	6.738711629e-14	2.010310243e-24	1	3.656084027e-14	0.5403898729	0.5057155737	4.5073073e-16
26	0.412588	None	None	2.734943426e-24	1.752258353e-24	2.011982657e-24	1	1.929660396e-16	0.5795371584	0.5047254376	2.603113823e-16
27	0.430584	None	None	3.762594423e-14	8.738351687e-14	2.013907726e-24	1	4.634171733e-14	0.5285353517	0.5036252631	4.947471694e-16
28	0.428652	None	None	6.926836842e-14	1.61595813e-13	2.008868241e-24	1	8.727045388e-14	0.5413851556	0.5065760865	4.616998359e-16
29	0.449704	None	None	1.721297421e-12	3.827623105e-12	2.014654363e-24	1	1.862607524e-12	0.4865970591	0.5055281777	1.267519144e-15
30	0.430608	None	None	8.078175637e-14	1.87599293e-13	2.012506052e-24	1	1.01098453e-13	0.53972666	0.5044683411	5.066444255e-16
31	0.45164	None	None	2.10588698e-12	4.66275569e-12	2.020553148e-24	1	2.226251154e-12	0.4774471057	0.5034119962	1.57774888e-15
32	0.4394	None	None	2.91727345e-24	1.720625246e-24	2.161230717e-24	1	1.97119549e-16	0.5322657257	0.4237538537	7.417029991e-14
33	0.45852	None	None	7.057971033e-14	1.53929404e-13	2.186608113e-24	1	7.364921862e-14	0.4789131051	0.4225169754	1.623804596e-13
34	0.440952	None	None	2.920443203e-24	1.709994955e-24	2.166417508e-24	1	2.071396003e-16	0.5335489815	0.4211404604	8.246045596e-14
35	0.459428	None	None	8.181453788e-14	1.780791286e-13	2.198370629e-24	1	8.574957961e-14	0.4812985002	0.4198103863	1.789844654e-13
36	0.458496	None	None	6.586018584e-14	1.436439704e-13	2.182801878e-24	1	6.623438252e-14	0.4606478928	0.4224359611	1.43939433e-13
37	0.481748	None	259.5974026	4.457695116e-12	9.253167871e-12	7.876302973e-24	1	3.86290495e-12	0.4174449228	0.4210973243	6.719190185e-13
38	0.459052	None	None	6.647014452e-14	1.447987255e-13	2.190644478e-24	1	6.767507798e-14	0.4661750971	0.4199279632	1.638241844e-13
