# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.109712	None	None	2.230387946e-06	2.032948033e-05	-1.434467149e-22	0.9999796705	3.718331028e-06	0.1828996795	0.655093551	3.415152253e-26
1	0.330984	None	None	1.653612946e-13	4.996051006e-13	1.787592332e-24	1	2.383090239e-13	0.4773288051	0.6518992834	1.087240868e-25
2	0.205516	None	None	1.540123155e-10	7.493933102e-10	2.010402518e-24	0.9999999993	3.55119241e-10	0.4738753872	0.5215148279	3.881839347e-27
3	0.381172	None	None	1.018204013e-14	2.67124556e-14	1.989485796e-24	1	1.409561172e-14	0.5319935737	0.5179838182	1.029729677e-22
4	0.11928	None	None	2.483575338e-07	2.082138949e-06	0	0.9999979179	4.434970375e-07	0.2130002482	0.655093969	2.301681115e-26
5	0.351036	None	None	7.395482015e-15	2.106758855e-14	1.787603315e-24	1	1.043949544e-14	0.505902278	0.6519007681	5.964285263e-26
6	0.245724	None	None	1.185502224e-12	4.824527615e-12	1.98486013e-24	1	2.563742193e-12	0.5313944106	0.5207619132	8.176713725e-28
7	0.411652	None	None	6.525569417e-16	1.585215035e-15	1.988446672e-24	1	7.169313965e-16	0.5602889204	0.5186039855	1.130796482e-22
8	0.158156	None	None	5.978458545e-09	3.78010227e-08	1.679274599e-24	0.9999999622	1.369701476e-08	0.362345064	0.6562352791	9.395672274e-30
9	0.355216	None	None	1.519279398e-14	4.277057898e-14	1.786268973e-24	1	2.232214131e-14	0.5191526751	0.6528874368	1.416902724e-27
10	0.27172	None	None	9.861410489e-15	3.629254559e-14	2.028623135e-24	1	2.450631585e-14	0.6730006437	0.4951076828	1.080961036e-28
11	0.413844	None	None	1.926100264e-15	4.654169837e-15	2.036199216e-24	1	2.757499955e-15	0.5725049479	0.4907805924	4.263747709e-23
12	0.180404	None	None	9.305929783e-11	5.158383286e-10	1.784104854e-24	0.9999999995	2.17658833e-10	0.4219515452	0.6563121712	1.393648119e-30
13	0.379536	None	None	5.864213815e-16	1.545100807e-15	1.78623574e-24	1	8.955635569e-16	0.574835258	0.6529117926	4.497991507e-28
14	0.327728	None	None	2.253143043e-16	6.875039736e-16	2.030714625e-24	1	4.217893108e-16	0.6459442097	0.4939096023	6.758442342e-29
15	0.440272	None	None	2.800870087e-24	1.732124694e-24	2.038264084e-24	1	2.074847835e-16	0.5761409064	0.4896067682	1.607122152e-22
16	0.205236	None	None	1.237988921e-10	6.032026161e-10	1.777838144e-24	0.9999999994	2.111307487e-10	0.3500161683	0.6547743634	4.053522157e-27
17	0.397264	None	None	8.092274174e-14	2.037001635e-13	1.788153846e-24	1	9.82847628e-14	0.4818047944	0.6514962324	3.254192558e-24
18	0.345892	None	None	8.356113081e-14	2.415815654e-13	1.990486255e-24	1	1.379294728e-13	0.5716981925	0.5173868933	8.317315817e-24
19	0.43706	None	None	8.129317749e-15	1.8600004e-14	1.995785849e-24	1	9.851429419e-15	0.5252666945	0.514240733	8.871048539e-20
20	0.239592	None	None	1.917996407e-13	8.005260638e-13	1.783721605e-24	1	3.401357669e-13	0.4249359891	0.6547747966	2.08753925e-27
21	0.436952	None	None	2.621731027e-14	6.000043545e-14	1.788152392e-24	1	2.861055816e-14	0.4736917194	0.651497126	2.265193823e-24
22	0.400336	None	None	6.2500464e-16	1.561200187e-15	1.991418659e-24	1	7.844281808e-16	0.5689074522	0.5168333903	6.52271423e-23
23	0.478492	None	None	4.12177646e-15	8.614096908e-15	1.996317004e-24	1	4.27030548e-15	0.5155377455	0.513926709	1.662712002e-19
24	0.274292	None	None	7.846506764e-13	2.860640035e-12	1.783392691e-24	1	1.406951038e-12	0.4918041416	0.6549356796	5.852627272e-30
25	0.412288	None	None	1.789995247e-14	4.341613742e-14	1.787875692e-24	1	2.177491232e-14	0.5012046805	0.6517007406	9.898660551e-25
