# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.45868	None	None	2.508525111e-24	1.595385893e-24	1.77675351e-24	1	6.748654953e-23	0.7349862078	0.6599602145	2.442049966e-43
1	0.459992	None	None	2.513041465e-24	1.600304082e-24	1.77691439e-24	1	8.709805714e-23	0.7326602511	0.6598399999	5.484150216e-43
2	0.466688	None	None	2.646335719e-24	1.42836023e-24	1.97973714e-24	1	1.104053134e-22	0.7260301741	0.5238233931	1.535814317e-34
3	0.46878	None	None	2.652840675e-24	1.435148577e-24	1.980071725e-24	1	1.43796586e-22	0.7224403135	0.5236220361	4.185925486e-34
4	0.45988	None	None	2.51219968e-24	1.599180192e-24	1.776768693e-24	1	2.345043182e-22	0.7332360004	0.659948868	2.623563258e-43
5	0.46138	None	None	2.5157116e-24	1.601244108e-24	1.776929593e-24	1	2.746257847e-22	0.7322237952	0.6598286406	6.109788411e-43
6	0.469388	None	None	2.657192935e-24	1.442180929e-24	1.980250513e-24	1	4.636942281e-22	0.7188347668	0.5235144669	2.760198528e-34
7	0.471908	None	None	2.662257781e-24	1.444526929e-24	1.980573967e-24	1	5.787979079e-22	0.717517802	0.5233199082	8.099527569e-34
8	0.535324	None	None	2.744374101e-24	1.802498541e-24	1.779453372e-24	1	1.857544892e-20	0.6495337514	0.6579456693	5.024637942e-47
9	0.533404	None	None	2.724409528e-24	1.771240935e-24	1.779622529e-24	1	1.769392836e-20	0.6609324863	0.6578196535	1.922643897e-46
10	0.553512	None	None	2.930168046e-24	1.62797604e-24	2.029063772e-24	1	8.17958544e-20	0.6167731615	0.494854791	1.78319385e-34
11	0.551404	None	None	2.950319981e-24	1.670232278e-24	2.029347221e-24	1	8.042561076e-20	0.6010557048	0.494692396	7.611858545e-34
12	0.529488	None	None	2.726013577e-24	1.787489648e-24	1.779559258e-24	1	2.512417702e-20	0.654948088	0.6578667848	1.473308212e-46
13	0.527348	None	None	2.710810209e-24	1.765592559e-24	1.779728505e-24	1	1.927038337e-20	0.6630068177	0.6577407176	6.287935634e-46
14	0.5478	None	None	2.926445459e-24	1.631941009e-24	2.032468174e-24	1	1.775794695e-19	0.6138815301	0.4929073217	3.841366902e-33
15	0.545792	None	None	2.89546126e-24	1.580275021e-24	2.032959796e-24	1	1.370960962e-19	0.6337442038	0.4926266307	1.850917995e-32
16	0.542208	None	None	2.907107239e-24	2.074236375e-24	1.782439682e-24	1	4.450736131e-17	0.5634793472	0.655724494	3.351613114e-31
17	0.546476	None	None	2.928453215e-24	2.096780361e-24	1.782613071e-24	1	6.890824211e-17	0.5573657548	0.6555957586	5.629348313e-31
18	0.533764	None	None	2.898766874e-24	1.69489659e-24	1.99409209e-24	1	8.950730124e-18	0.6061999819	0.5152451519	5.518089713e-23
19	0.535196	None	None	2.920805829e-24	1.731376908e-24	1.994179833e-24	1	1.172946483e-17	0.5933934326	0.5151930982	5.830076311e-23
20	0.555164	None	None	4.639355593e-16	8.356729859e-16	1.782457094e-24	1	3.229158412e-16	0.5314150613	0.6557115504	6.101329336e-31
21	0.55978	None	None	4.660913151e-16	8.326330225e-16	1.782630525e-24	1	5.792806433e-16	0.5333552706	0.6555828023	9.705477667e-31
22	0.552464	None	None	3.009463847e-24	1.835349178e-24	1.995499499e-24	1	5.251271862e-17	0.5592976075	0.514410755	1.791408507e-22
23	0.554728	None	None	3.012868154e-24	1.833776863e-24	1.995620783e-24	1	8.974768233e-17	0.5597329919	0.5143389059	2.157243789e-22
24	0.533744	None	None	2.759943539e-24	1.824052998e-24	1.786366195e-24	1	1.529623311e-18	0.6393274783	0.6528153112	1.057209203e-30
25	0.535236	None	None	2.784931262e-24	1.865310623e-24	1.786549866e-24	1	2.170625426e-18	0.6251208419	0.6526795413	1.840985733e-30
26	0.54448	None	None	2.919455341e-24	1.595407044e-24	2.050788114e-24	1	2.536914019e-18	0.6202707032	0.4825385142	6.967986869e-21
27	0.546632	None	None	2.927699974e-24	1.604016596e-24	2.050893174e-24	1	3.283438767e-18	0.6168976629	0.4824795859	9.637431282e-21
28	0.557472	None	None	2.882543567e-24	1.966126119e-24	1.786483307e-24	1	4.532167657e-17	0.5930896215	0.6527287385	6.59755021e-30
29	0.560436	None	None	2.902044872e-24	1.990196516e-24	1.786667097e-24	1	7.813414621e-17	0.5858548388	0.6525928982	1.150832012e-29
30	0.567848	None	None	3.023610532e-24	1.709051489e-24	2.053129062e-24	1	6.116486143e-17	0.5781106963	0.481226906	1.489835284e-19
31	0.571844	None	None	3.036325279e-24	1.717788503e-24	2.05401823e-24	1	1.022810243e-16	0.5748246373	0.4807294982	1.79434638e-19
32	0.458832	None	None	2.509744102e-24	1.592029171e-24	1.779270173e-24	1	6.801398195e-23	0.7354802297	0.6580821722	3.90881292e-43
33	0.460172	None	None	2.514725006e-24	1.597863233e-24	1.779433086e-24	1	8.857516771e-23	0.7327267829	0.6579607829	8.874750412e-43
34	0.466948	None	None	2.649975016e-24	1.426185478e-24	1.98402056e-24	1	1.122294028e-22	0.7251315779	0.5212507105	2.104353376e-34
35	0.469148	None	None	2.656786219e-24	1.433390186e-24	1.98431408e-24	1	1.487575031e-22	0.7213500701	0.5210748245	5.822622167e-34
36	0.460048	None	None	2.513265312e-24	1.595439773e-24	1.779286435e-24	1	2.418966898e-22	0.7339011731	0.6580700543	4.248506875e-43
37	0.461572	None	None	2.517394638e-24	1.598765228e-24	1.779449374e-24	1	2.841481737e-22	0.7323065881	0.6579486478	1.00498528e-42
38	0.469672	None	None	2.659379883e-24	1.436857819e-24	1.984527997e-24	1	4.861807898e-22	0.7195097817	0.5209466719	3.694302982e-34
39	0.472192	None	None	2.664434915e-24	1.439161889e-24	1.984874185e-24	1	6.04071241e-22	0.718197221	0.520739338	1.12264416e-33
40	0.536096	None	None	2.766153683e-24	1.835888645e-24	1.781941124e-24	1	2.178757057e-20	0.6368154751	0.6560947971	1.07699646e-46
41	0.53418	None	None	2.707805976e-24	1.73292746e-24	1.782110785e-24	1	1.667481513e-20	0.6745862278	0.6559687581	4.023778403e-46
42	0.554812	None	None	2.932699588e-24	1.619995546e-24	2.03390662e-24	1	8.831837372e-20	0.6178151794	0.4920864258	2.489437777e-34
