# rd	rr	action	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc	best_behavioral_mutant_action	behavioral_max_advantage_bc2	behavioral_resident_payoff_bc2	behavioral_mutant_payoff_bc2
154	186	10	0.832852	1.489173354	9.136645963	0.8094098216	0.9714239687	0.0003574264455	0.0282186049	0.008458677627	2.300976507e-12	0.1079696627	0.0002854400358	11	0.00546122449	0.8331387755	0.8386
154	234	10	0.8382	1.034832008	None	0.8368696273	0.9983069867	8.871108783e-05	0.001604302241	0.0369269162	2.95097881e-21	0.1153618634	6.959363378e-05	11	0.0088	0.8388	0.8476
154	170	10	0.83918	1.0344972	None	0.8379719275	0.9984654007	7.97325254e-05	0.001454866812	0.03659852722	3.327010326e-21	0.1156238716	6.256097193e-05	11	0.0102122449	0.8397877551	0.85
154	218	10	0.816328	1.512153308	13.61570681	0.7971482261	0.9760882409	0.0003400645967	0.0235716945	0.009634340121	1.649661801e-11	0.1105213094	0.0002711661501	11	-0.003767346939	0.8175673469	0.8138
154	154	10	0.81754	1.525443675	12.33822123	0.8004939839	0.9787459217	0.000330043136	0.0209240352	0.01053359488	1.137518857e-11	0.1107139572	0.0002625254162	11	0.005179591837	0.8186204082	0.8238
154	202	10	0.821544	1.03248834	None	0.8203710147	0.9984782974	7.716034761e-05	0.001444542264	0.03567099708	6.850032969e-20	0.1185283737	6.076642181e-05	11	0.0113755102	0.8222244898	0.8336
154	138	10	0.823116	1.032923027	None	0.8220347846	0.998600634	7.062516094e-05	0.001328740815	0.03549527141	6.676006451e-20	0.1188850446	5.56381494e-05	11	0.01286530612	0.8235346939	0.8364
154	230	10	0.81778	1.05096228	8.236797274	0.8083261946	0.987657645	0.0006395256726	0.01170282933	0.0364937454	9.071314191e-26	0.1065622362	0.0005014180393	11	0.01376734694	0.8176326531	0.8314
89	100	13	0.830232	1.144635064	9.789100817	0.8118189905	0.9768194115	0.0008322568931	0.02234833163	0.02486930335	5.903498108e-23	0.1013553544	0.0006553321151	5	0.0195877551	0.8298122449	0.8494
154	166	10	0.81586	1.051141711	9.508089833	0.8065687333	0.9878346165	0.000633983119	0.01153140042	0.03671529039	1.754218024e-25	0.1069068807	0.0004972045567	11	0.01310204082	0.8156979592	0.8288
89	101	13	0.829192	1.151346446	9.466161484	0.8086893123	0.9743130666	0.0007967119914	0.02489022139	0.02137587595	2.751729428e-22	0.1015951588	0.0006291533873	5	0.01986530612	0.8287346939	0.8486
89	108	13	0.812684	1.150692573	8.080684597	0.7935903587	0.9754391335	0.0008665819013	0.02369428462	0.02442403085	1.039756058e-21	0.1024432139	0.0006842921824	5	0.01324897959	0.8123510204	0.8256
89	109	13	0.812036	1.157847448	8.639175258	0.7901643361	0.9720052248	0.0008611013748	0.0271336738	0.02119322307	4.362177974e-21	0.1026148446	0.000682518744	5	0.01093469388	0.8114653061	0.8224
154	242	10	0.812592	1.522838538	9.497769429	0.7855895926	0.9662993031	0.0003825092698	0.03331818759	0.007666761253	1.079250017e-11	0.1138476242	0.0003094179514	11	0.005485714286	0.8133142857	0.8188
154	178	10	0.813432	1.52432441	10.06226557	0.7919412456	0.9731753698	0.0003292581707	0.02649537202	0.008298849328	7.422155651e-12	0.114021701	0.0002645193022	11	0.001885714286	0.8143142857	0.8162
154	226	10	0.817968	1.036526181	29.47148289	0.8166311587	0.9982544218	9.098589303e-05	0.001654592349	0.0367226807	1.292154359e-20	0.121219645	7.191587897e-05	11	0.01399591837	0.8186040816	0.8326
154	162	10	0.819008	1.03617892	27.96943231	0.8177975056	0.9984224185	8.155749232e-05	0.001496024015	0.03640630683	1.429643503e-20	0.1215501093	6.447975349e-05	11	0.01550204082	0.8196979592	0.8352
152	170	10	0.801928	1.036799809	None	0.8018577337	0.9999087342	2.922268936e-06	8.834353569e-05	0.02209005164	6.091751669e-18	0.1360812351	2.349393651e-06	11	-0.003293877551	0.8028938776	0.7996
152	234	10	0.800136	1.038830494	None	0.8000624512	0.9999042081	3.097802351e-06	9.269414378e-05	0.02231786951	6.855479976e-18	0.1357661614	2.489551019e-06	11	-0.00787755102	0.801277551	0.7934
217	68	13	0.811076	1.139211464	16.69649485	0.7790645818	0.960345622	0.0001512961169	0.03950308189	0.002557691316	1.389174783e-19	0.1122132449	0.0001228871304	5	0.01880816327	0.8107918367	0.8296
153	235	10	0.827164	1.282867178	None	0.8211240972	0.9926932051	4.014883148e-06	0.007302779976	0.0003671436607	8.635705693e-14	0.1357062471	3.249759337e-06	11	-0.0145755102	0.8279755102	0.8134
153	171	10	0.828848	1.274644484	None	0.8240680584	0.9942285456	3.716906699e-06	0.005767737536	0.0004303556453	4.436692214e-14	0.1360804165	3.005321654e-06	11	-0.0126122449	0.8296122449	0.817
153	203	10	0.82498	1.28794656	None	0.819305245	0.9931168101	3.739020291e-06	0.006879450919	0.0003629571781	1.051314501e-13	0.1364110802	3.027830921e-06	11	-0.015	0.8258	0.8108
153	139	10	0.826708	1.279578401	None	0.8222136945	0.9945594232	3.462911614e-06	0.005437113929	0.0004253283291	5.398945287e-14	0.1367058312	2.801198878e-06	11	-0.01308163265	0.8274816327	0.8144
153	227	10	0.803432	1.342273558	None	0.8003590272	0.9961727766	1.940960678e-06	0.003825282403	0.000338847887	6.623511943e-13	0.1463354095	1.586290564e-06	11	-0.01544897959	0.8044489796	0.789
153	163	10	0.805232	1.332834082	None	0.8028358981	0.9970221298	1.774542693e-06	0.002976095694	0.000398190608	3.428203612e-13	0.1467638157	1.449809012e-06	11	-0.01484489796	0.806244898	0.7914
153	195	10	0.801124	1.350144551	None	0.7983582398	0.9965454907	1.730105367e-06	0.003452779161	0.0003346226902	8.24159027e-13	0.1472227462	1.414976342e-06	11	-0.01635510204	0.802155102	0.7858
153	131	10	0.80298	1.340508888	None	0.8008311858	0.9973219883	1.575638779e-06	0.0026764361	0.0003931436666	4.262630154e-13	0.1475776382	1.288202347e-06	11	-0.01519591837	0.8039959184	0.7888
153	234	10	0.828636	1.274050637	None	0.8240321764	0.9944396212	3.706408939e-06	0.005556672367	0.0004454406797	3.455812497e-14	0.135820323	2.995228144e-06	11	-0.01464897959	0.8294489796	0.8148
153	170	10	0.830288	1.265999285	None	0.8266133366	0.9955700874	3.439930198e-06	0.004426472693	0.0005189710956	1.755235071e-14	0.1361919521	2.778008509e-06	11	-0.01348163265	0.8310816327	0.8176
153	202	10	0.826456	1.279397546	None	0.8221372932	0.9947702486	3.452572204e-06	0.005226298815	0.0004411637979	4.187696548e-14	0.1365386018	2.791662877e-06	11	-0.01507755102	0.827277551	0.8122
153	138	10	0.828156	1.271195156	None	0.8247076566	0.9958322485	3.204998601e-06	0.004164546512	0.0005139388613	2.126017062e-14	0.1368309456	2.589658313e-06	11	-0.01395918367	0.8289591837	0.815
153	226	10	0.805044	1.334421583	None	0.8027381747	0.9971335765	1.771735229e-06	0.002864651747	0.0004130269716	2.696849962e-13	0.1464686142	1.446828995e-06	11	-0.01322040816	0.8060204082	0.7928
153	162	10	0.806796	1.325160758	None	0.8049816352	0.9977491335	1.625327555e-06	0.002249241177	0.0004825654826	1.380293135e-13	0.1468944598	1.327144855e-06	11	-0.01380408163	0.8078040816	0.794
153	194	10	0.802792	1.342575909	None	0.8007207622	0.9974179902	1.579033988e-06	0.002580430776	0.0004086492709	3.336589722e-13	0.1473685556	1.290522923e-06	11	-0.01479591837	0.8037959184	0.789
153	130	10	0.804604	1.333111259	None	0.8029807102	0.9979807055	1.4426461e-06	0.002017851853	0.0004774434408	1.706475934e-13	0.147720983	1.178899607e-06	11	-0.01482857143	0.8056285714	0.7908
