# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.1611	8.561716172	None	0.0003419183125	0.002122397967	9.124074188e-21	0.997877602	0.0002153985518	0.1012728969	0.6619622493	4.90507832e-30
1	0.163392	9.575595527	None	0.0002516485045	0.001540151932	0	0.9984598481	0.0001648230851	0.1068525962	0.6619547386	5.482288386e-30
2	0.163748	8.918754232	None	0.0003286884997	0.00200728253	-9.636957652e-21	0.9979927175	0.0002059615292	0.1024011833	0.6028147191	1.518245754e-28
3	0.166132	9.467249941	None	0.0002333302662	0.001404487192	9.636132247e-21	0.9985955128	0.0001534778915	0.1091233403	0.6028939034	1.909344824e-28
4	0.186316	8.930681371	None	6.881484611e-06	3.693448019e-05	-2.851099038e-22	0.9999630655	5.246876997e-06	0.1420537985	0.6619833966	1.483750431e-30
5	0.19112	8.740768651	None	3.881181933e-06	2.030756557e-05	1.425558544e-22	0.9999796924	3.0853058e-06	0.1519258	0.6619759044	1.587210471e-30
6	0.19938	11.3258427	None	3.724376161e-06	1.867978815e-05	-3.014489784e-22	0.9999813202	2.883439436e-06	0.1543585801	0.6017413386	6.182005752e-29
7	0.205448	12.05539359	None	1.745961865e-06	8.49831522e-06	0	0.9999915017	1.436516242e-06	0.1690339787	0.6018341383	8.188069031e-29
8	0.172984	7.984491671	None	0.0002872963003	0.001660825859	9.153180547e-21	0.9983391741	0.0001816273433	0.1091780279	0.6584314277	3.063423647e-36
9	0.17758	9.157939914	None	0.0002017357758	0.00113602757	0	0.9988639724	0.0001323396917	0.1163610406	0.6584023729	5.115424742e-36
10	0.177632	8.148155228	None	0.0002698772277	0.001519305236	9.978351011e-21	0.9984806948	0.0001710970913	0.1124442531	0.5666055433	1.169810976e-29
11	0.182604	8.475562452	None	0.0001927209662	0.001055403858	4.989847165e-21	0.9989445961	0.0001250386585	0.1183496641	0.5664580157	1.752662576e-29
12	0.226932	15.40943555	None	1.323004478e-06	5.829959978e-06	0	0.99999417	1.068467835e-06	0.1832708302	0.6584133182	8.518652926e-38
13	0.234724	19.85414481	None	5.90711708e-07	2.516622535e-06	-3.575483709e-23	0.9999974834	5.029248026e-07	0.1998406717	0.6583844385	1.526244767e-37
14	0.25196	18.80142283	None	4.632964651e-07	1.838769904e-06	1.951435363e-23	0.9999981612	4.062588631e-07	0.2209401597	0.5652371327	5.065859254e-30
15	0.261468	17.45145228	None	2.122358509e-07	8.117087021e-07	0	0.9999991883	1.85242541e-07	0.2282128928	0.5651001861	9.399880627e-30
16	0.292256	15.92363636	None	1.555928522e-07	5.323854847e-07	8.922473551e-24	0.9999994676	1.218771725e-07	0.2289264293	0.6603942103	1.376248996e-27
17	0.295492	15.63852243	None	1.559363229e-07	5.277175792e-07	4.461246214e-24	0.9999994723	1.183642152e-07	0.224294505	0.6603918687	1.564951439e-27
18	0.289724	None	None	2.655035049e-08	9.164014886e-08	3.537873179e-24	0.9999999084	2.693681321e-08	0.293941159	0.6001699523	1.779789061e-24
19	0.292272	183.5246753	None	2.328711535e-08	7.967617613e-08	2.358522985e-24	0.9999999203	2.310450846e-08	0.2899801263	0.6001963636	2.15715286e-24
20	0.334872	13.09107056	None	1.909301297e-09	5.701585372e-09	1.742664686e-24	0.9999999943	1.396465084e-09	0.244925765	0.660397948	1.869052542e-27
21	0.337588	10.60124047	None	2.515819856e-09	7.452337927e-09	1.812375106e-24	0.9999999925	1.774345688e-09	0.2380924705	0.6603956085	2.212202577e-27
22	0.354832	None	None	3.784520418e-11	1.066566831e-10	1.86261563e-24	0.9999999999	3.66185688e-11	0.3433325226	0.5992950092	1.770767166e-23
23	0.35658	49.02725724	None	4.613671728e-11	1.293867218e-10	1.862587738e-24	0.9999999999	4.498181937e-11	0.3476538815	0.5993107729	2.042498012e-23
24	0.286432	None	None	2.172602612e-08	7.585055483e-08	2.242530566e-24	0.9999999241	2.197515639e-08	0.289716478	0.6545151375	3.591967079e-28
25	0.290144	None	None	1.846079818e-08	6.362633098e-08	1.121276185e-24	0.9999999364	1.905006083e-08	0.2994052687	0.6545044294	4.72617766e-28
26	0.305552	None	None	6.201587874e-09	2.029634194e-08	1.837681518e-24	0.9999999797	6.968936306e-09	0.3433592121	0.560664191	5.911083921e-23
27	0.306712	None	None	5.09593934e-09	1.661473741e-08	1.837834867e-24	0.9999999834	5.597314967e-09	0.3368885611	0.5605791478	6.778037712e-23
28	0.361272	None	None	4.323808497e-11	1.19682912e-10	1.78263893e-24	0.9999999999	4.179980087e-11	0.3492553464	0.6545136943	6.911879839e-28
29	0.362572	195.4697987	None	5.606509042e-11	1.546316054e-10	1.782656589e-24	0.9999999998	5.436641748e-11	0.3515858812	0.6545027856	8.646555488e-28
30	0.396928	None	None	2.843431139e-12	7.163594251e-12	1.921052459e-24	1	2.943619179e-12	0.4108863763	0.5601503982	3.133162614e-21
31	0.39868	None	None	2.918808783e-12	7.321181858e-12	1.921306702e-24	1	3.061193155e-12	0.4181164985	0.5600155864	3.481248988e-21
32	0.161184	8.64290473	None	0.0003445547883	0.002137648825	0	0.9978623512	0.0002159566684	0.1008093688	0.6610246124	5.426918689e-30
33	0.163484	9.669447853	None	0.0002534064022	0.001550037938	0	0.9984499621	0.0001651184159	0.1063602845	0.661017023	6.072647471e-30
34	0.163868	8.981826443	None	0.0003316404198	0.002023826615	-9.652975435e-21	0.9979761734	0.0002065185298	0.1018370697	0.6010628126	1.692648218e-28
35	0.166248	9.533079486	None	0.0002354534275	0.001416278256	-9.651852808e-21	0.9985837217	0.0001538969044	0.1085090044	0.6011741638	2.13843574e-28
36	0.186576	8.874853344	None	6.739987375e-06	3.612462147e-05	-2.853519931e-22	0.9999638754	5.156974065e-06	0.1427499462	0.6610434545	1.610707487e-30
37	0.191416	9.018648019	None	3.872718455e-06	2.023194746e-05	-1.426769129e-22	0.9999797681	3.071617426e-06	0.1518170847	0.6610358832	1.721118958e-30
38	0.19976	11.11106012	None	3.694671889e-06	1.849555411e-05	-1.509851786e-22	0.9999815044	2.864769189e-06	0.1548867467	0.5999199187	7.161258281e-29
39	0.206064	11.89394302	None	1.747522647e-06	8.480484931e-06	7.548391713e-23	0.9999915195	1.43653463e-06	0.1693915452	0.6000406136	9.533207159e-29
40	0.173148	8.193871538	None	0.0002894753828	0.001671837866	0	0.9983281621	0.0001822078411	0.1088043421	0.6568130431	5.330170655e-36
41	0.17778	9.438743919	None	0.0002031343812	0.001142616611	4.583380479e-21	0.9988573834	0.0001326122622	0.1159275438	0.6567839115	8.735226022e-36
42	0.17776	8.194465796	None	0.0002718235678	0.001529160485	0	0.9984708395	0.0001718525526	0.1122117424	0.5649695209	1.372845121e-29
43	0.182644	8.484271845	None	0.0001933797399	0.001058779593	-4.997606882e-21	0.9989412204	0.0001253509309	0.1182665522	0.5648676699	2.073122465e-29
44	0.22724	12.68073394	None	1.175158974e-06	5.171444172e-06	-7.161328979e-23	0.9999948286	9.855075698e-07	0.1905662018	0.6567861268	1.502703848e-37
45	0.235456	20.94091581	None	5.389397989e-07	2.288919369e-06	0	0.9999977111	4.703442562e-07	0.2054870022	0.6567570898	2.607936388e-37
46	0.251976	40.01570681	None	4.74352679e-07	1.882531189e-06	0	0.9999981175	4.016279571e-07	0.2133442483	0.563425786	6.15391258e-30
47	0.261176	30.64431487	None	2.125337991e-07	8.137570033e-07	0	0.9999991862	1.872273369e-07	0.2300775081	0.5632904293	1.114466468e-29
48	0.29128	17.58619824	None	1.389415873e-07	4.770035268e-07	4.465102946e-24	0.999999523	1.112093237e-07	0.2331414008	0.6594361443	1.67102149e-27
49	0.29602	13.77456871	None	1.438497072e-07	4.859459062e-07	0	0.9999995141	1.123830951e-07	0.2312665646	0.6594337796	1.881029021e-27
50	0.290796	69.48955224	None	2.570692071e-08	8.840190618e-08	0	0.9999999116	2.647986082e-08	0.2995394621	0.5986802077	2.123790626e-24
51	0.293476	None	None	2.464107921e-08	8.396284265e-08	3.542634452e-24	0.999999916	2.402786949e-08	0.2861726355	0.5987540222	2.645487419e-24
52	0.335344	10.36495792	None	1.977247536e-09	5.89617687e-09	1.744179068e-24	0.9999999941	1.412672201e-09	0.2395912174	0.6594372426	2.152021168e-27
53	0.337876	11.21541826	None	2.426315005e-09	7.181081241e-09	1.813950107e-24	0.9999999928	1.699851709e-09	0.2367125154	0.6594348798	2.6043597e-27
54	0.353472	None	None	3.209172567e-11	9.07900079e-11	1.865833687e-24	0.9999999999	3.249358595e-11	0.3578980126	0.5974792358	2.198095003e-23
