# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.680888	6.180560804	None	4.124684899e-10	6.05780231e-10	1.845685347e-24	0.9999999994	1.314270978e-10	0.2169554348	0.616821254	8.601383133e-26
1	0.680412	6.245069561	None	3.130844975e-10	4.601395883e-10	1.836983835e-24	0.9999999995	1.010642908e-10	0.2196387632	0.6166071887	1.123280583e-25
2	0.669992	6.963894541	None	1.637698848e-10	2.444355825e-10	2.160668143e-24	0.9999999998	6.35001345e-11	0.2597834384	0.4237615324	1.244256549e-19
3	0.669012	7.073995772	None	1.185370292e-10	1.771822168e-10	2.160378288e-24	0.9999999998	4.596516488e-11	0.2594222513	0.4238829286	1.698853328e-19
4	0.681148	6.18429003	None	4.543098066e-10	6.669766433e-10	1.823365229e-24	0.9999999993	1.409268337e-10	0.2112919951	0.6166138166	1.270849568e-25
5	0.68054	6.238160604	None	2.963147525e-10	4.354112212e-10	1.837334705e-24	0.9999999996	9.352388517e-11	0.2147943157	0.6164032702	1.672198733e-25
6	0.665756	7.484115828	None	4.722471745e-11	7.093397197e-11	2.162598562e-24	0.9999999999	1.95415704e-11	0.275491433	0.4220876473	7.418946838e-19
7	0.664636	7.648563067	None	2.726265654e-11	4.101892847e-11	2.165547265e-24	1	1.123884401e-11	0.2739956928	0.421722472	1.002433689e-18
8	0.678112	6.341851044	None	2.980474662e-10	4.395254268e-10	1.838012264e-24	0.9999999996	9.967040671e-11	0.2267684369	0.6160096942	1.681132405e-25
9	0.677656	6.433962264	None	2.297955957e-10	3.391036096e-10	1.838382111e-24	0.9999999997	7.749592729e-11	0.2285312965	0.6157949744	2.186692546e-25
10	0.666424	7.3887683	None	1.126238796e-10	1.689973345e-10	2.165318489e-24	0.9999999998	4.553641167e-11	0.2694507794	0.4218178958	3.305985464e-19
11	0.665384	7.582427493	None	8.175002267e-11	1.228614194e-10	2.166478409e-24	0.9999999999	3.311701551e-11	0.2695481202	0.4219107797	4.546787114e-19
12	0.6778	6.487297921	None	2.815656011e-10	4.154110373e-10	1.833839165e-24	0.9999999996	9.256670084e-11	0.2228319297	0.6157971453	2.719331121e-25
13	0.677172	6.547001327	None	1.836913894e-10	2.712625292e-10	1.836472223e-24	0.9999999997	6.109371794e-11	0.2252201838	0.6155859542	3.592834861e-25
14	0.660436	8.528094726	None	2.639112866e-11	3.996016064e-11	2.171010985e-24	1	1.15406571e-11	0.2888012988	0.4191611226	2.506414519e-18
15	0.659004	8.767093662	None	1.456908013e-11	2.21077264e-11	2.170943948e-24	1	6.607709986e-12	0.2988820846	0.419188948	3.531896188e-18
16	0.673224	5.995208914	None	1.115261217e-10	1.656597533e-10	1.85588955e-24	0.9999999998	3.40229784e-11	0.2053788319	0.6044160271	3.667922449e-21
17	0.6735	5.955752212	None	1.491348412e-10	2.214325779e-10	1.854076054e-24	0.9999999998	4.382517226e-11	0.197917525	0.6041420221	4.40221675e-21
18	0.647964	8.989321572	None	2.38471287e-12	3.680316916e-12	2.176896868e-24	1	1.180295671e-12	0.3207302922	0.4190029587	1.810646294e-15
19	0.64788	8.622603767	None	2.558008128e-12	3.948274569e-12	2.17909891e-24	1	1.261050107e-12	0.319434055	0.4184688069	2.030050306e-15
20	0.681588	5.666620585	None	6.000242295e-10	8.80332737e-10	1.854498382e-24	0.9999999991	1.430066837e-10	0.1624459587	0.6039013291	7.947786299e-21
21	0.682276	5.7274884	None	9.970414875e-10	1.46134627e-09	1.864162932e-24	0.9999999985	2.326267915e-10	0.1591866426	0.6036270485	9.556929196e-21
22	0.65832	8.595977168	None	3.820169216e-12	5.802906209e-12	2.214801359e-24	1	1.707899429e-12	0.2943296065	0.4171777608	7.555770159e-15
23	0.6608	7.624110748	None	6.374363472e-12	9.646433826e-12	2.245845962e-24	1	2.780717259e-12	0.2882813154	0.4170250785	8.038582647e-15
24	0.669136	6.170679179	None	5.453581922e-11	8.1501846e-11	1.85615429e-24	0.9999999999	1.883450046e-11	0.231095521	0.6029585833	6.461514309e-21
25	0.6695	6.183992605	None	6.897126385e-11	1.030190647e-10	1.856636763e-24	0.9999999999	2.344963034e-11	0.2276247284	0.6026841965	7.765138328e-21
26	0.640848	10.63126169	None	1.266801211e-12	1.976757688e-12	2.184329225e-24	1	6.63266662e-13	0.3356351078	0.4157036566	3.838455797e-15
