# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.460684	None	None	2.519451112e-24	1.586241494e-24	1.788695036e-24	1	8.356103857e-23	0.7341958904	0.6510958899	2.997350562e-42
1	0.462584	None	None	2.526375313e-24	1.593618121e-24	1.789193069e-24	1	1.160835796e-22	0.7305887033	0.6507287652	1.406557136e-41
2	0.4685	None	None	2.673508757e-24	1.3960251e-24	2.019470998e-24	1	1.372097273e-22	0.7238394611	0.5003776024	7.310761832e-30
3	0.470888	None	None	2.685513264e-24	1.39141386e-24	2.030313174e-24	1	1.909707054e-22	0.7210346234	0.4941393186	3.961371756e-29
4	0.462044	None	None	2.523419679e-24	1.590080209e-24	1.788732659e-24	1	4.027892675e-22	0.7324076201	0.6510681492	4.620436782e-42
5	0.464172	None	None	2.529241951e-24	1.594259886e-24	1.789231152e-24	1	5.441782624e-22	0.7302786545	0.6507007008	2.505710865e-41
6	0.470908	None	None	2.684415984e-24	1.398958884e-24	2.025635054e-24	1	9.351295093e-22	0.7193790068	0.496822787	8.903302996e-29
7	0.474188	None	None	2.689216712e-24	1.39970467e-24	2.025493554e-24	1	1.349516666e-21	0.7190632203	0.4969041473	6.381738915e-28
8	0.55696	None	None	2.867094281e-24	1.792790562e-24	1.86858165e-24	1	1.124288633e-19	0.6198510445	0.5947094162	8.18454241e-44
9	0.554208	None	None	2.86136053e-24	1.788248591e-24	1.870298855e-24	1	1.064476716e-19	0.6207841266	0.5935502429	7.297648451e-43
10	0.572232	None	None	3.074417354e-24	1.609340151e-24	2.153501421e-24	1	3.454892343e-19	0.5722789722	0.4276716601	9.179990835e-28
11	0.572036	None	None	3.051709685e-24	1.569427705e-24	2.153940538e-24	1	3.624414549e-19	0.5866458701	0.4274483281	4.935820886e-27
12	0.553076	None	None	2.854252275e-24	1.776082857e-24	1.871943472e-24	1	5.062706984e-19	0.6244179696	0.5924420625	1.04982393e-41
13	0.551148	None	None	2.852635755e-24	1.77702405e-24	1.873232504e-24	1	5.140860144e-19	0.62360283	0.5915748441	1.85596964e-40
14	0.5731	None	None	3.087896981e-24	1.619131838e-24	2.159972524e-24	1	3.965698413e-18	0.5661491264	0.4243896925	2.738088945e-25
15	0.57066	None	None	3.077268597e-24	1.607108218e-24	2.160156221e-24	1	3.928695892e-18	0.5703084529	0.4242968138	3.143657432e-24
16	0.5607	None	None	4.704719683e-16	8.39079662e-16	1.809670756e-24	1	4.701474022e-16	0.5292575081	0.6358085972	3.125483873e-24
17	0.564536	None	None	9.610455776e-16	1.702363668e-15	1.810044162e-24	1	7.301153521e-16	0.5217324814	0.6355396742	6.262338977e-24
18	0.559288	None	None	4.608090237e-16	8.239208094e-16	2.036306965e-24	1	2.797731316e-16	0.5389950172	0.4907191531	3.847099501e-19
19	0.563372	None	None	4.770774025e-16	8.468248342e-16	2.043883458e-24	1	4.358614946e-16	0.5244168486	0.4864246015	5.683838803e-19
20	0.571108	None	None	1.063656054e-14	1.862442925e-14	1.809831338e-24	1	9.306773695e-15	0.5007333799	0.6356933363	9.069859358e-24
21	0.574056	None	None	1.636508663e-14	2.850782263e-14	1.810204264e-24	1	1.399958727e-14	0.4984896567	0.6354242662	1.625568476e-23
22	0.573304	None	None	9.227982573e-15	1.609614196e-14	2.040022295e-24	1	7.810972812e-15	0.4966162574	0.4886094273	2.507286039e-18
23	0.576452	None	None	1.406146719e-14	2.43931276e-14	2.051913717e-24	1	1.248102556e-14	0.5097541439	0.4819077298	3.102415448e-18
