# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.117772	None	None	2.197547485e-06	1.865933741e-05	0	0.9999813407	3.548767697e-06	0.1901836813	0.6470706346	1.811891336e-25
1	0.362824	None	None	3.547665873e-12	9.777925036e-12	1.814637199e-24	1	4.075549391e-12	0.4167966786	0.6321619022	9.950023635e-19
2	0.221728	None	None	5.455044342e-10	2.460241531e-09	2.007954561e-24	0.9999999975	1.088011486e-09	0.4422376596	0.4933378966	1.940486434e-21
3	0.410684	None	None	2.145141117e-12	5.22333745e-12	2.044012073e-24	1	2.220611844e-12	0.4251010145	0.486760409	1.397117815e-16
4	0.130156	None	None	2.644751549e-07	2.031985885e-06	0	0.999997968	4.465549279e-07	0.2197623637	0.6470704026	1.241652261e-25
5	0.388896	None	None	6.63060907e-13	1.704982584e-12	1.81487597e-24	1	7.504085787e-13	0.440186763	0.6320612448	8.590453062e-19
6	0.277684	None	None	1.183006816e-11	4.260262802e-11	2.03033058e-24	1	2.119596154e-11	0.497526441	0.4930507039	1.204360493e-21
7	0.441344	None	None	7.93981823e-13	1.799008988e-12	2.044971678e-24	1	7.807167433e-13	0.4339660535	0.4865000254	7.97344081e-16
8	0.184552	None	None	4.496787979e-09	2.43659672e-08	1.771484532e-24	0.9999999756	9.13681612e-09	0.3749826935	0.5986546445	1.614993765e-28
9	0.405572	None	None	1.091726202e-12	2.691818475e-12	1.903329945e-24	1	1.217781176e-12	0.4523680273	0.5715896631	4.997213536e-19
10	0.283316	None	None	8.879058541e-14	3.133977093e-13	2.159811551e-24	1	1.840459497e-13	0.5866441503	0.4244770777	7.81600913e-18
11	0.453408	None	None	8.370512027e-13	1.846132408e-12	2.26066214e-24	1	8.310522896e-13	0.4500711369	0.4187863008	5.272800302e-14
12	0.22468	None	None	7.058093758e-11	3.141398326e-10	1.856380934e-24	0.9999999997	1.386006859e-10	0.4412069788	0.5976015077	2.105052178e-29
13	0.442356	None	None	4.7464106e-13	1.072984338e-12	1.909867917e-24	1	4.797564824e-13	0.4469928679	0.5674297519	6.233226074e-18
14	0.356664	None	None	1.644287059e-14	4.610185102e-14	2.162649675e-24	1	2.59831105e-14	0.5683343034	0.4230378533	4.445177881e-18
15	0.490892	None	209.6021505	1.181889673e-12	2.407636859e-12	3.964139952e-24	1	9.717737874e-13	0.4035771372	0.4184972385	8.087488653e-13
16	0.230028	None	None	3.36802824e-10	1.464181856e-09	1.818528372e-24	0.9999999985	5.005988632e-10	0.3418965144	0.6460384353	9.842101418e-25
17	0.437684	71.93515358	17.06926407	4.2312308e-12	9.667318889e-12	1.818452525e-24	1	3.711583396e-12	0.3839428138	0.6308897873	2.712829959e-16
18	0.362464	None	None	8.401382236e-12	2.317852873e-11	2.036492545e-24	1	1.021415966e-11	0.4406686873	0.4910476899	5.095245197e-18
19	0.453752	8401	63.06979063	1.822404567e-12	4.016300902e-12	2.088051892e-24	1	1.643429988e-12	0.4092258538	0.4870377555	1.302969533e-14
20	0.272852	None	None	2.005478591e-12	7.350060072e-12	1.795655263e-24	1	2.945659309e-12	0.4007645788	0.6460238067	1.705668841e-24
21	0.47314	None	34.34680135	3.021471378e-12	6.385998602e-12	1.81794458e-24	1	2.642076949e-12	0.4136998572	0.6307760392	2.354311341e-16
22	0.419592	None	None	7.441078514e-13	1.7734081e-12	2.041156493e-24	1	7.815199842e-13	0.4407316113	0.4880417925	1.032058667e-16
23	0.49124	670.2881356	None	2.653068449e-12	5.400758181e-12	2.247445749e-24	1	2.222432585e-12	0.4114648965	0.488461553	4.434913615e-14
