# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.23216	17.91384318	140.4645669	3.211538436e-06	1.383329788e-05	0	0.9999861667	2.800798659e-06	0.202465091	0.5366461628	1.569224086e-17
1	0.513344	6.513893325	13.56450048	2.569508947e-08	5.0054329e-08	4.747662512e-19	0.9999999499	8.239347683e-09	0.16460809	0.4968969012	1.104721204e-11
2	0.436084	10.88664222	31.46199117	2.491838255e-07	5.714124468e-07	6.157774869e-17	0.9999994286	1.409147625e-07	0.2466076521	0.3570833834	1.10446441e-10
3	0.534376	6.486687966	13.38299483	1.054738208e-08	1.973775401e-08	4.574411555e-17	0.9999999803	3.772745706e-09	0.1911436109	0.3533412943	2.366609095e-09
4	0.27376	12.7532014	43.1394636	4.582906494e-07	1.674059941e-06	1.005144096e-22	0.9999983259	3.659797306e-07	0.2186176909	0.5352213442	7.33935415e-17
5	0.535356	5.354362864	19.00642169	2.810517964e-08	5.249811272e-08	9.631908264e-19	0.9999999475	8.059902564e-09	0.1535274644	0.4955328056	2.134393899e-11
6	0.48116	9.25631068	18.20324705	6.027216476e-08	1.252642878e-07	4.95788663e-17	0.9999998747	2.981482573e-08	0.2380153357	0.3557805677	4.05130127e-10
7	0.565572	5.670313609	11.37956706	1.83608043e-08	3.246413214e-08	1.591526159e-16	0.9999999675	5.65735191e-09	0.1742646815	0.3499520205	4.989478712e-09
8	0.238468	14.57773806	68.92982456	3.104707583e-06	1.301938869e-05	4.865555513e-22	0.9999869806	2.613611623e-06	0.2007450317	0.5268397499	4.090365641e-17
9	0.511268	6.200528509	13.2246556	2.655543061e-08	5.194033386e-08	8.194578681e-19	0.9999999481	8.207885632e-09	0.1580252663	0.487698161	1.823026675e-11
10	0.44306	9.119958635	29.15120275	2.399194999e-07	5.415056646e-07	1.074765096e-16	0.9999994585	1.345507639e-07	0.24847513	0.3526825952	2.025439905e-10
11	0.536896	6.064634491	9.110871998	8.685609681e-09	1.617745266e-08	5.891852279e-17	0.9999999838	3.24231044e-09	0.2004215622	0.3462830501	3.693332897e-09
12	0.282748	22.94193113	37.09352037	4.445119221e-07	1.572113409e-06	3.046532377e-22	0.9999984279	3.431086113e-07	0.2182463879	0.5250317064	2.23101057e-16
13	0.536484	5.635193133	12.5671571	2.682154368e-08	4.999504865e-08	1.863500454e-18	0.99999995	7.83987034e-09	0.1568129321	0.4860271388	4.300764684e-11
14	0.484644	9.336112893	21.57775318	6.405485921e-08	1.321688891e-07	1.147217325e-16	0.9999998678	3.065706283e-08	0.2319536642	0.3500476956	8.834916923e-10
15	0.568344	5.685657171	10.31267784	2.021511285e-08	3.556844542e-08	3.115423389e-16	0.9999999644	5.827005102e-09	0.1638251162	0.3437442537	8.860134586e-09
16	0.394988	8.158984982	24.49150762	7.811271551e-08	1.97759718e-07	1.586273441e-21	0.9999998022	4.206906202e-08	0.2127281233	0.5300651177	9.594205491e-15
17	0.58474	4.582254718	17.20304569	3.834531045e-08	6.557668442e-08	3.570964663e-18	0.9999999344	6.619920097e-09	0.1009492903	0.4918613388	6.314949504e-11
18	0.497148	7.44245142	13.46452524	3.526700704e-08	7.093864797e-08	7.95482521e-17	0.9999999291	1.496398589e-08	0.210942628	0.3544792641	1.14635857e-09
19	0.581632	5.787984981	10.0031559	1.084288823e-08	1.864217945e-08	1.087967961e-16	0.9999999814	2.693020174e-09	0.1444584265	0.3510769808	5.946266677e-09
20	0.46198	5.84447469	21.00473213	2.224207304e-08	4.814509943e-08	2.28745219e-21	0.9999999519	9.008772623e-09	0.187117122	0.5284539239	5.679779072e-14
21	0.615376	4.688204477	16.03118731	3.547454023e-07	5.764693492e-07	4.43268534e-17	0.9999994235	4.230492272e-08	0.07338620575	0.4902617389	8.904822193e-11
22	0.545824	6.704041387	16.8053528	2.081489281e-08	3.813480668e-08	9.077259361e-17	0.9999999619	6.522549085e-09	0.1710392538	0.3531767889	2.430257356e-09
23	0.619252	5.057530529	14.73651877	1.261274156e-07	2.036770396e-07	1.456310971e-15	0.9999997963	2.168646476e-08	0.1064747415	0.3475865324	7.260168078e-09
24	0.401448	9.48581702	32.24233983	7.522359186e-08	1.873806617e-07	4.352067655e-21	0.9999998126	4.159783683e-08	0.2219963818	0.5185466318	2.75595137e-14
25	0.578028	4.547212215	16.20080727	3.349675467e-08	5.795005547e-08	5.745737419e-18	0.999999942	6.604923008e-09	0.1139761198	0.4816934683	1.139727751e-10
26	0.503968	6.611175021	13.55304849	3.102097142e-08	6.155345437e-08	1.300463681e-16	0.9999999384	1.340763737e-08	0.2178210194	0.3484117599	2.147005876e-09
27	0.582012	5.341810627	9.499302094	1.025796453e-08	1.762500489e-08	1.79733369e-16	0.9999999824	2.550475945e-09	0.1447077992	0.343193422	1.03098189e-08
28	0.469432	6.510473325	18.58228424	2.382172003e-08	5.074583759e-08	7.663463366e-21	0.9999999493	9.104390298e-09	0.1794115565	0.5169803199	1.788804709e-13
29	0.613648	4.406044678	13.91462837	3.377595219e-07	5.504124869e-07	9.08624949e-17	0.9999994496	4.112538354e-08	0.07471734704	0.4797877591	1.894458716e-10
30	0.550008	5.612520719	10.9508442	1.891759546e-08	3.439512751e-08	1.705686494e-16	0.9999999656	6.572996095e-09	0.1911025218	0.3467635439	5.03135276e-09
