# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.635284	1.824878663	None	0.6351021827	0.9997138016	0	0.0002861984358	0.0003161544951	9.050882533e-08	0.6176661686	8.39168005e-26
1	0.634356	1.843842131	None	0.6339557317	0.9993690163	9.503421189e-21	0.0006309836529	0.0002577707815	1.627518432e-07	0.6176473837	1.126153262e-25
2	0.573712	2.478589466	None	0.4410984977	0.7688500462	3.45359699e-18	0.2311499538	0.0001932322601	5.809406947e-05	0.4286747395	4.932551026e-18
3	0.570476	2.576425599	None	0.2965900918	0.5198993329	3.299763386e-18	0.4801006671	0.0001427149732	0.0001317900399	0.428230601	6.931212851e-18
4	0.63316	1.978953541	None	0.374204996	0.5910117442	-2.974113215e-22	0.4089882558	6.23054558e-06	4.311623236e-06	0.6160499071	1.888721962e-24
5	0.632372	1.993203539	None	0.2627986149	0.4155759821	0	0.5844240179	5.207265421e-06	7.322971276e-06	0.616042185	2.539394417e-24
6	0.48478	184.9366086	115.6744868	3.014870783e-12	6.21904943e-12	7.870121542e-24	1	2.585263154e-12	0.4156653391	0.4231549524	1.001232928e-12
7	0.48792	277.4845606	59.04093859	2.283537925e-12	4.680148231e-12	6.234403457e-24	1	1.968700071e-12	0.4206378453	0.4229515089	9.489016375e-13
8	0.623216	1.899237417	None	0.6226312432	0.9990617108	1.902796019e-20	0.0009382891629	0.0002913753222	2.73651071e-07	0.6164684781	1.67477014e-25
9	0.622168	1.919298788	None	0.6208871504	0.9979413123	-9.513459861e-21	0.002058687695	0.0002362113805	4.872886376e-07	0.6165149494	2.233090264e-25
10	0.567364	2.651895417	None	0.3201422484	0.564262534	4.605086075e-18	0.435737466	0.0001724461475	0.0001331671745	0.4240677267	8.894129256e-18
11	0.563488	2.793367504	None	0.1719020425	0.3050677965	3.627453976e-18	0.6949322035	0.0001253152606	0.0002854631369	0.4240387626	1.297634886e-17
12	0.619428	2.106571331	None	0.1183953109	0.1911365177	0	0.8088634823	4.431336268e-06	1.875280625e-05	0.6148290071	5.441348641e-24
13	0.618588	2.130702233	None	0.06888452917	0.1113576875	-1.488678526e-22	0.8886423125	3.78466389e-06	3.020188859e-05	0.6148864548	7.476549228e-24
14	0.485888	116.5254237	59.05486284	3.051851108e-12	6.280976497e-12	1.060190925e-23	1	2.438341838e-12	0.3882348314	0.4197626921	1.460148321e-12
15	0.488104	None	None	2.317110235e-12	4.74716502e-12	7.1564927e-24	1	1.994752205e-12	0.4202189564	0.4195222929	1.142259695e-12
16	0.629332	2.813419032	None	2.519941788e-05	4.004153274e-05	9.377141701e-24	0.9999599585	1.762305046e-07	0.00440101655	0.6065918995	9.814527141e-21
17	0.6312	2.830131029	None	2.693081172e-05	4.266605152e-05	0	0.9999573339	1.79915382e-07	0.004216647639	0.6065299651	1.135551978e-20
18	0.486636	None	42.63939175	1.575828935e-12	3.238208712e-12	6.18151433e-24	1	1.357139633e-12	0.4191010358	0.4214082114	1.35073451e-12
19	0.490048	None	4520.384615	1.381255413e-12	2.818612489e-12	5.281661759e-24	1	1.229025935e-12	0.4361149103	0.4215549567	1.204335767e-12
20	0.668168	2.534633194	None	0.578707193	0.8661103091	2.404060989e-20	0.1338896909	7.537923591e-05	1.165267576e-05	0.6050604685	3.834483814e-20
21	0.669356	2.537861144	None	0.5991606219	0.8951299785	2.885008653e-20	0.1048700215	8.540693504e-05	1.000595146e-05	0.6050129555	4.435124737e-20
22	0.63214	3.465985003	None	0.02035324432	0.03219736818	1.109730352e-14	0.9678026318	4.104969277e-05	0.001233889691	0.4206644349	3.751581266e-13
23	0.63492	3.378811563	None	0.03515566938	0.05537023464	1.544047931e-14	0.9446297654	5.06555466e-05	0.0008641960324	0.4207805763	3.035624272e-13
24	0.616448	2.972270994	None	7.768014431e-06	1.260124849e-05	9.390146904e-24	0.9999873988	1.048542462e-07	0.00832083618	0.6051250006	1.966562311e-20
25	0.618508	2.958556069	None	8.397148722e-06	1.357645935e-05	4.69505591e-24	0.9999864235	1.074769801e-07	0.007916314394	0.6051289533	2.232409055e-20
26	0.489708	None	67.432	1.709152261e-12	3.49014568e-12	7.268130747e-24	1	1.439965277e-12	0.4126421759	0.419892575	1.589162185e-12
27	0.490824	64.41452758	None	1.569468637e-12	3.197619997e-12	7.046951877e-24	1	1.317014609e-12	0.4119215535	0.4193043171	1.658036821e-12
28	0.660384	2.624315949	None	0.4997148385	0.7567034309	5.055670234e-20	0.2432965691	6.96858069e-05	2.24054987e-05	0.6035648999	8.893791185e-20
29	0.661792	2.622133141	None	0.5334747738	0.8061064108	6.740784505e-20	0.1938935892	7.932210601e-05	1.907942628e-05	0.6035840698	1.005410706e-19
30	0.62834	3.64418018	None	0.01133498186	0.01803956753	1.158273614e-14	0.9819604325	3.661585656e-05	0.001993136602	0.4182656025	6.973390597e-13
31	0.632088	3.508599283	None	0.0196871769	0.03114625954	1.680873865e-14	0.9688537405	4.589661294e-05	0.001427686848	0.4179811176	5.859688555e-13
32	0.634304	1.830986085	None	0.6340975674	0.9996745526	0	0.0003254473821	0.0003121254161	1.016134695e-07	0.6128522318	1.25229212e-25
33	0.633364	1.849158742	None	0.6329094475	0.9992823202	0	0.00071767976	0.0002541062765	1.824979065e-07	0.6127642962	1.684366845e-25
34	0.573348	2.472208312	None	0.4322794774	0.7539565453	4.73110999e-18	0.2460434547	0.0001925121351	6.282371453e-05	0.4243110322	6.865115565e-18
35	0.56996	2.560779046	None	0.2860475972	0.5018731089	4.523559797e-18	0.4981268911	0.0001417635166	0.0001407053268	0.4241685116	9.829188689e-18
36	0.63166	1.995664264	None	0.2988355	0.4730954944	-2.987806122e-22	0.5269045056	5.307171089e-06	5.910798965e-06	0.6111568688	3.147358677e-24
37	0.63086	2.010183733	None	0.1919763486	0.3043089569	2.98802121e-22	0.6956910431	4.391375381e-06	1.003927242e-05	0.6110801505	4.210362856e-24
38	0.486944	None	None	2.582307506e-12	5.303089278e-12	8.762179448e-24	1	2.158355957e-12	0.4069842023	0.4200302402	1.352565558e-12
39	0.487796	33.19462518	113.2774566	2.473535761e-12	5.0708406e-12	8.974525136e-24	1	2.08182557e-12	0.4105611633	0.4183828403	1.457142934e-12
40	0.622264	1.909964262	None	0.6215952944	0.9989253668	0	0.001074633242	0.0002872616296	3.090329936e-07	0.6116187565	2.523455421e-25
41	0.62118	1.929253112	None	0.6197143224	0.9976404946	0	0.002359505407	0.0002324947183	5.498699657e-07	0.6115964634	3.372896054e-25
42	0.56692	2.662759172	None	0.3127217382	0.5516152865	6.471664471e-18	0.4483847135	0.0001724928409	0.0001402121278	0.420310088	1.273780743e-17
43	0.562856	2.801722891	None	0.1668585831	0.2964498613	5.142996005e-18	0.7035501387	0.0001249420608	0.0002965189589	0.4200061308	1.88711202e-17
44	0.617956	2.13208852	None	0.07723655781	0.1249871476	0	0.8750128524	3.700197067e-06	2.590442337e-05	0.6098983745	9.141703556e-24
45	0.6171	2.158857744	None	0.04348325105	0.07046386493	1.495688706e-22	0.9295361351	3.153579052e-06	4.160097784e-05	0.6098871959	1.247406596e-23
46	0.48624	94.21065375	186.8578199	2.697373885e-12	5.547412564e-12	1.113545569e-23	1	2.339630271e-12	0.4217212855	0.4171608819	1.752596704e-12
47	0.486744	47.63414634	112.4661582	2.538219306e-12	5.214690485e-12	1.243192557e-23	1	2.181309255e-12	0.4183117301	0.4176209234	2.135306515e-12
48	0.627936	2.831467029	None	2.131836084e-05	3.394989432e-05	-1.883795526e-23	0.9999660501	1.602027697e-07	0.004718640057	0.601886667	1.461355722e-20
49	0.6298	2.850451371	None	2.265226696e-05	3.596739753e-05	0	0.9999640326	1.625448062e-07	0.004519063681	0.6017553806	1.68283107e-20
50	0.489144	None	54.09324759	1.68731421e-12	3.449524496e-12	7.382656875e-24	1	1.442152042e-12	0.4180163574	0.4194333169	1.64301829e-12
51	0.489956	None	None	1.278950723e-12	2.610337914e-12	5.544242575e-24	1	1.120923848e-12	0.4294007912	0.421448349	1.409807002e-12
52	0.667544	2.541677868	None	0.5712396469	0.8557333253	3.863907624e-20	0.1442666747	7.441653261e-05	1.254576091e-05	0.6002931033	5.67991055e-20
53	0.668736	2.546600054	None	0.5930020804	0.8867506466	3.864345472e-20	0.1132493534	8.427421333e-05	1.076289056e-05	0.6001758411	6.573150356e-20
54	0.631948	3.455905012	None	0.01916864214	0.03033262569	1.281375397e-14	0.9696673743	4.056765488e-05	0.001296858761	0.4189376685	4.590861527e-13
55	0.634884	3.386705215	None	0.03311164264	0.05215384644	1.909732754e-14	0.9478461536	4.987096269e-05	0.00090635693	0.418458657	3.977613295e-13
56	0.61504	2.996408163	None	6.244089082e-06	1.015233006e-05	0	0.9999898477	9.127887667e-08	0.0089908374	0.6004081865	2.944681459e-20
57	0.617144	2.984523761	None	6.756221519e-06	1.094756089e-05	4.716388911e-24	0.9999890524	9.38840645e-08	0.00857570354	0.600343139	3.344294879e-20
58	0.490228	95.7902439	56.71801062	1.606291789e-12	3.276621877e-12	7.691156345e-24	1	1.39583131e-12	0.4259790843	0.4175911281	1.82774995e-12
59	0.490268	None	None	1.408382698e-12	2.872679224e-12	7.870880628e-24	1	1.216561966e-12	0.4234236581	0.4175221032	2.152505279e-12
60	0.659804	2.634465617	None	0.4882241509	0.7399533057	7.738884569e-20	0.2600466943	6.866661503e-05	2.413196361e-05	0.5987848071	1.331346033e-19
61	0.661212	2.634029052	None	0.5236634433	0.7919751053	8.706677419e-20	0.2080248947	7.812985625e-05	2.052205305e-05	0.598734588	1.50587637e-19
62	0.628272	3.639286057	None	0.01083769108	0.01724999853	1.554958539e-14	0.9827500015	3.622164695e-05	0.002063584151	0.415284814	9.763268752e-13
63	0.632136	3.53316043	None	0.01885765268	0.02983163857	2.292293163e-14	0.9701683614	4.521792061e-05	0.001470552676	0.4153415764	8.323027379e-13
64	0.634084	1.836615221	None	0.6337123465	0.9994138733	0	0.0005861266733	0.0002612162001	1.531955744e-07	0.6176515627	9.000195317e-26
65	0.633144	1.855977562	None	0.63233003	0.9987143999	-9.503462391e-21	0.001285600148	0.0002109613048	2.715610037e-07	0.6176326347	1.209378303e-25
66	0.569984	2.553883035	None	0.2999593377	0.5262592243	3.206182303e-18	0.4737407757	0.0001432006213	0.0001289098039	0.4286389875	6.68608415e-18
67	0.566824	2.674352941	None	0.1562501952	0.2756591027	2.585741211e-18	0.7243408973	0.0001021069265	0.0002683032122	0.4282009598	1.025034963e-17
68	0.63508	1.951273845	None	0.4989143525	0.7855929213	0	0.2144070787	8.073039912e-06	2.203325484e-06	0.6160343756	2.03876451e-24
69	0.634204	1.968743531	None	0.4016409697	0.6332993323	0	0.3667006677	6.589705292e-06	3.815651157e-06	0.6160264978	2.70122314e-24
70	0.486324	None	None	2.134327757e-12	4.388695102e-12	7.207529137e-24	1	1.88508033e-12	0.4295487957	0.4242867148	1.255990572e-12
71	0.487424	1183.545455	48.30977814	2.836620457e-12	5.819615894e-12	7.767207437e-24	1	2.34705385e-12	0.4032931927	0.4240554068	1.051904296e-12
72	0.621936	1.914855608	None	0.6207337502	0.9980669237	-9.514009707e-21	0.001933076331	0.000238632737	4.621887414e-07	0.6164537655	1.79956689e-25
73	0.620864	1.935442296	None	0.618249142	0.9957883563	0	0.004211643704	0.0001915806999	8.10282269e-07	0.6165000929	2.404606641e-25
74	0.563996	2.730086537	None	0.1756754777	0.3114835526	3.615354394e-18	0.6885164474	0.0001262909178	0.0002791587978	0.4241713078	1.265215871e-17
75	0.560076	2.867370392	None	0.07441595505	0.132867602	2.342703682e-18	0.867132398	8.79925365e-05	0.0005742647421	0.4241819315	1.924499636e-17
76	0.621516	2.072763685	None	0.2209846401	0.3555574435	-2.977562385e-22	0.6444425565	5.790462466e-06	1.049512675e-05	0.6148133554	5.789214093e-24
77	0.620572	2.099314199	None	0.1354941462	0.2183375115	0	0.7816624885	4.726201688e-06	1.692010936e-05	0.614870646	7.883143427e-24
78	0.48932	153.7157895	121.4444444	2.475232105e-12	5.05851407e-12	9.264748516e-24	1	2.120333663e-12	0.419199383	0.4189767633	1.52411951e-12
79	0.490312	54.35803613	None	2.891893175e-12	5.898067301e-12	1.132084585e-23	1	2.412523196e-12	0.4090724222	0.4195470787	1.687103885e-12
80	0.628624	2.831163693	None	1.766258492e-05	2.809721696e-05	-9.377419894e-24	0.9999719028	1.472453145e-07	0.005240418549	0.6065604755	1.039553408e-20
81	0.630448	2.843123196	None	1.82518281e-05	2.895056864e-05	9.377968545e-24	0.9999710494	1.432175757e-07	0.004946826113	0.6064985176	1.197480393e-20
