# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.433604	None	6.215323646	2.845284272e-24	1.587147512e-24	2.157090762e-24	1	1.363869129e-17	0.5787707389	0.425848813	1.611443934e-09
1	0.463532	None	28.21457859	5.812547269e-14	1.253968932e-13	3.175450555e-24	1	6.198421267e-14	0.49580566	0.4280528608	8.937538563e-12
2	0.437288	None	6.490554782	2.858763502e-24	1.602557836e-24	2.157984191e-24	1	1.93697966e-17	0.5728329293	0.425396027	6.400375725e-10
3	0.465672	None	None	5.846354834e-14	1.255466258e-13	2.888075576e-24	1	6.390656442e-14	0.5093633207	0.4274063703	6.403551043e-12
4	0.456392	None	12.40879142	2.656642281e-15	5.82096592e-15	2.467481562e-24	1	2.905447353e-15	0.5340392836	0.4265263789	5.860412639e-11
5	0.468052	None	70.13535123	1.496245255e-12	3.19675005e-12	1.024189578e-23	1	1.363829482e-12	0.4266201429	0.4283664	2.774048022e-12
6	0.45962	None	12.3580928	3.13233217e-15	6.815047577e-15	2.363409047e-24	1	3.761649743e-15	0.5213043107	0.4257930359	3.30899141e-11
7	0.4701	None	None	1.160671091e-12	2.468987644e-12	6.486216413e-24	1	1.106965452e-12	0.4484082384	0.4278696629	1.92291096e-12
8	0.468584	None	None	4.388270403e-15	9.364959965e-15	2.179290737e-24	1	4.277277422e-15	0.4742029988	0.4162269876	3.534872909e-13
9	0.476172	None	None	3.843645814e-13	8.071969401e-13	2.58046181e-24	1	3.614272686e-13	0.447831996	0.4134436496	5.339415383e-13
10	0.469308	None	None	5.479955614e-15	1.167667206e-14	2.174073425e-24	1	5.533652837e-15	0.456386074	0.4194455365	3.984037496e-13
11	0.47584	1445.253165	None	4.080703415e-13	8.575788953e-13	2.598642193e-24	1	3.713435959e-13	0.4329147808	0.4169428743	5.361460277e-13
12	0.47298	75.8518024	None	5.758039726e-13	1.217396026e-12	4.230584904e-24	1	5.028651e-13	0.4129379221	0.4164225064	1.830003888e-12
13	0.486652	30.33539892	None	5.822180506e-12	1.196374515e-11	4.948084362e-23	1	4.798535613e-12	0.401077075	0.4120108762	4.268786976e-12
14	0.47436	54.02272727	None	5.870502944e-13	1.23756281e-12	4.060280404e-24	1	5.041196917e-13	0.4072853913	0.4163053901	1.650579054e-12
15	0.487812	49.16175232	836.7446809	6.0618933e-12	1.242669983e-11	4.655856258e-23	1	4.927987426e-12	0.3965701294	0.4134731413	3.861312798e-12
16	0.457936	None	13.77194521	2.27640969e-15	4.971021469e-15	2.340895527e-24	1	2.694948776e-15	0.5360136294	0.4267689633	4.087147363e-11
17	0.469336	None	39.02538071	2.839732792e-13	6.050532651e-13	4.832345077e-24	1	2.841715733e-13	0.4697389646	0.4287643821	4.858892989e-12
18	0.459292	None	17.15580853	2.729828578e-15	5.943557858e-15	2.284189883e-24	1	3.164508038e-15	0.5230241791	0.4269622763	2.381505331e-11
19	0.469828	None	146.0857143	2.80450806e-13	5.969222906e-13	3.679914195e-24	1	2.815993664e-13	0.4716737228	0.4289628497	2.809262952e-12
20	0.46498	None	34.12806389	3.24226198e-13	6.972906318e-13	7.724352186e-24	1	3.477189206e-13	0.4986756389	0.4273962904	8.749091401e-12
21	0.472236	None	57.14967259	2.441023656e-12	5.169075751e-12	2.191892507e-23	1	2.296026953e-12	0.4441686146	0.4291873234	4.195299599e-12
22	0.4663	None	38.8470255	3.958723279e-13	8.489648893e-13	6.262875804e-24	1	4.018881421e-13	0.4734008909	0.4272250139	5.29931447e-12
23	0.47424	None	81.46112601	2.535649201e-12	5.346763666e-12	1.71059533e-23	1	2.325244147e-12	0.4348894487	0.4294246387	3.069172527e-12
24	0.472636	None	None	8.931495234e-14	1.889719622e-13	2.252574989e-24	1	8.425276359e-14	0.4465051263	0.4163524227	4.393866007e-13
25	0.483264	162.0756303	None	6.969134893e-13	1.442096844e-12	3.124290355e-24	1	6.345755483e-13	0.4400560777	0.4165744337	7.134159265e-13
26	0.47534	None	20201	1.140149293e-13	2.39859741e-13	2.271964984e-24	1	1.013696713e-13	0.4221314483	0.4188558468	4.575550698e-13
27	0.479264	None	246.1463918	8.058323532e-13	1.681395542e-12	3.369160901e-24	1	7.101780142e-13	0.4223269473	0.4169784265	7.705897816e-13
28	0.48494	192.6821192	78.85170341	4.515658518e-12	9.311788094e-12	2.623084619e-23	1	3.735052557e-12	0.4011296548	0.4137211491	2.79324209e-12
29	0.501496	43.42021661	39.71878243	1.027332226e-11	2.048535235e-11	9.525796279e-23	1	7.449967372e-12	0.3636764678	0.4199965188	4.943174448e-12
30	0.48592	167.4549356	52.00788782	4.499913465e-12	9.260605582e-12	3.114674259e-23	1	3.630294176e-12	0.3920293612	0.41814047	3.397689932e-12
31	0.500752	46.38449731	25.73020134	1.016739325e-11	2.03042489e-11	1.0509213e-22	1	7.592346437e-12	0.3739192308	0.4132782885	5.479385538e-12
32	0.473068	None	239.2082515	3.885017387e-15	8.212386771e-15	2.176391599e-24	1	4.084607815e-15	0.4866798168	0.4198580329	9.827091216e-13
33	0.482724	None	278.5700935	5.318236987e-13	1.101713813e-12	3.193959377e-24	1	4.739321776e-13	0.4300964382	0.4183663512	1.007627978e-12
34	0.473112	None	56.49442379	4.981566491e-15	1.052935983e-14	2.18066978e-24	1	4.875770984e-15	0.4639390606	0.4195066558	1.135598559e-12
35	0.48298	None	51.9947644	6.016449942e-13	1.245693391e-12	3.244445779e-24	1	5.358862046e-13	0.4302950308	0.418680011	9.359542521e-13
36	0.480188	None	112.6992481	5.201945967e-13	1.083314445e-12	3.043944077e-24	1	4.509266381e-13	0.4160846835	0.4207657925	8.809986996e-13
37	0.488128	177.1447964	None	4.94251796e-12	1.012545472e-11	2.064638077e-23	1	4.113440674e-12	0.4062630732	0.4193606854	1.983818131e-12
38	0.480936	None	839.1538462	4.898153042e-13	1.018462548e-12	3.008730828e-24	1	4.336587953e-13	0.426009929	0.4213300585	9.011478416e-13
39	0.48718	54.92454588	73.32795031	4.950057772e-12	1.01606342e-11	1.967141222e-23	1	4.118706274e-12	0.4053809377	0.4221992079	1.878112284e-12
40	0.473756	None	73.15951662	1.832217932e-14	3.867429503e-14	2.288895392e-24	1	1.716691448e-14	0.447829215	0.3956351244	1.939045522e-12
41	0.486764	111.1310541	67.06802721	8.246631974e-13	1.694174584e-12	8.598240785e-24	1	7.264310511e-13	0.42884007	0.3973339487	4.013322227e-12
42	0.474652	None	None	1.772067797e-14	3.733404255e-14	2.290479124e-24	1	1.6765275e-14	0.4520107875	0.3982895671	2.216672699e-12
43	0.487204	40.43451143	None	7.541217326e-13	1.547856201e-12	8.933697223e-24	1	6.720711393e-13	0.4340887571	0.3959472719	4.615459549e-12
44	0.497008	19.90715119	None	3.181764955e-12	6.40183851e-12	1.82972877e-22	1	2.41877502e-12	0.3778530061	0.3946917234	2.99991176e-11
45	0.5139	25.22613683	25.14060388	1.592102654e-11	3.098078718e-11	2.888279685e-21	1	1.148228288e-11	0.3706287558	0.3932889695	9.88478691e-11
46	0.498352	23.06758061	None	3.416148109e-12	6.854889934e-12	2.002404759e-22	1	2.562495276e-12	0.3738053806	0.3919975726	3.061417638e-11
47	0.51286	18.56645045	22.80298997	1.567562028e-11	3.056510604e-11	2.718869686e-21	1	1.105088614e-11	0.3615467875	0.3898248209	9.400281372e-11
48	0.487232	None	None	1.527439559e-13	3.13493276e-13	2.406794884e-24	1	1.369125987e-13	0.436307529	0.4198473331	8.250491544e-13
49	0.490956	126.6258065	None	1.631415509e-12	3.32293629e-12	7.259082827e-24	1	1.358763554e-12	0.4089494542	0.4203279708	1.667093186e-12
50	0.483556	None	None	1.330762438e-13	2.752033761e-13	2.372676e-24	1	1.256484179e-13	0.4566704382	0.4209747347	8.147027939e-13
51	0.491444	None	4699.24	1.571409109e-12	3.197534427e-12	7.431074312e-24	1	1.314906655e-12	0.4112381525	0.4178062875	1.785177439e-12
52	0.491796	None	24.47423326	3.489436298e-12	7.095292149e-12	1.260932478e-23	1	2.858431828e-12	0.4028871798	0.4172786183	1.595861225e-12
53	0.503028	77.77535302	30.93324288	7.215234805e-12	1.434360474e-11	6.291600639e-23	1	5.627919026e-12	0.3923659818	0.4162599583	4.590637925e-12
54	0.490932	53.87209832	56.94934243	3.826352366e-12	7.794057764e-12	1.684114887e-23	1	3.012401251e-12	0.3864812402	0.4178046384	2.043086374e-12
55	0.507176	28.92852037	37.68344371	7.368931765e-12	1.452933846e-11	6.458009431e-23	1	5.700536972e-12	0.392332322	0.4158271909	4.654186263e-12
56	0.489516	None	None	3.581710967e-13	7.316841465e-13	5.897084397e-24	1	3.141418383e-13	0.4291073858	0.3926479029	5.32263548e-12
57	0.501248	36.21841866	69.4765343	1.940772279e-12	3.871880344e-12	5.627879321e-23	1	1.657154591e-12	0.4280454931	0.3925614849	1.48034156e-11
58	0.491544	None	None	4.133040786e-13	8.408282444e-13	6.365967036e-24	1	3.496005445e-13	0.415659453	0.3927292988	5.223635463e-12
59	0.500772	61.00611309	None	1.784667296e-12	3.563832036e-12	4.393358954e-23	1	1.41916618e-12	0.3982536496	0.3937520491	1.242456372e-11
60	0.521056	15.99422707	26.13148543	1.419576816e-11	2.724422741e-11	2.822565268e-21	1	1.012418853e-11	0.3716143479	0.390515492	1.095581361e-10
61	0.531212	20.67543152	19.86381323	2.560286903e-11	4.819708332e-11	9.130210062e-21	1	1.679902291e-11	0.3485481998	0.3922774626	2.00768141e-10
62	0.522176	24.56705882	16.76818667	1.411551966e-11	2.703211112e-11	3.08195625e-21	1	9.864657138e-12	0.3649198382	0.3919319938	1.207346208e-10
63	0.533088	19.65768524	19.91748929	2.222495715e-11	4.16909725e-11	7.788558486e-21	1	1.448551339e-11	0.3474445659	0.3922601042	1.979814395e-10
64	0.476424	None	None	2.582458454e-12	5.420504539e-12	7.171411263e-24	1	2.378702065e-12	0.4388045044	0.4297782101	1.016883995e-12
65	0.479172	None	76.30720607	1.775805042e-12	3.705986663e-12	9.356612529e-24	1	1.612275085e-12	0.4351035412	0.4299855115	2.135038351e-12
66	0.477356	None	None	2.641827613e-12	5.534292253e-12	6.267434869e-24	1	2.408501233e-12	0.4351587655	0.4296120378	8.165411534e-13
67	0.48022	None	None	1.754550942e-12	3.653639877e-12	7.573965403e-24	1	1.591660292e-12	0.4356246871	0.4301357735	1.630335899e-12
68	0.487488	None	197.735786	5.690304765e-11	1.167270736e-10	9.548772149e-23	0.9999999999	4.57975628e-11	0.3923476066	0.4304351266	8.782422472e-13
69	0.4987	101.5772152	None	1.175694994e-10	2.357519538e-10	2.834414158e-22	0.9999999998	8.669600901e-11	0.3677423763	0.4304010625	1.310364238e-12
