# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.161256	8.525290125	None	0.0003494835033	0.002167258913	9.426038745e-21	0.9978327411	0.000218587493	0.1006403785	0.626407937	1.687884086e-25
1	0.163552	9.517624336	None	0.0002585483727	0.00158083284	0	0.9984191672	0.0001679774141	0.1060908311	0.6266023815	1.99859258e-25
2	0.163624	8.854545455	None	0.000339819106	0.00207682923	9.573111869e-21	0.9979231708	0.0002110530254	0.1014116622	0.6098538213	4.400466102e-25
3	0.16586	9.676520475	None	0.0002464757542	0.001486046993	0	0.998513953	0.0001599472496	0.1074727524	0.6117836552	5.591638277e-25
4	0.187152	8.709369025	None	8.855698624e-06	4.731821527e-05	2.947476199e-22	0.9999526818	6.49384085e-06	0.1372311601	0.6256902373	2.308682808e-25
5	0.192136	8.595721136	None	5.189912892e-06	2.701166305e-05	0	0.9999729883	3.993902429e-06	0.1478544486	0.6256598649	2.805003247e-25
6	0.197104	9.544402315	None	5.910714302e-06	2.998779478e-05	0	0.9999700122	4.336374927e-06	0.1446003256	0.6101645564	9.371383464e-25
7	0.202592	9.683274021	None	2.974071147e-06	1.468010162e-05	0	0.9999853199	2.368760454e-06	0.1613562181	0.6099513801	1.277143989e-24
8	0.173248	7.70035036	None	0.0002943690525	0.001699119485	-1.024421073e-20	0.9983008805	0.0001849594872	0.1086711209	0.5399763593	1.530043292e-24
9	0.177868	8.929824561	None	0.000207204521	0.001164934226	5.148604134e-21	0.9988350658	0.0001349395601	0.1156995488	0.5348098709	1.935557833e-24
10	0.177444	8.349147226	None	0.000276841859	0.001560164666	-1.03158876e-20	0.9984398353	0.0001750513757	0.1120255256	0.5330124459	1.025454249e-23
11	0.182352	9.074953154	None	0.0001929752402	0.001058256779	-5.154070917e-21	0.9989417432	0.0001266712608	0.1195713673	0.5337505494	1.34705048e-23
12	0.230016	9.330312185	None	1.795954122e-06	7.807953021e-06	0	0.999992192	1.41249765e-06	0.1809035759	0.5359644281	2.181693918e-23
13	0.238104	12.61018437	None	8.782287986e-07	3.68842522e-06	0	0.9999963116	7.258224625e-07	0.1967831097	0.536692963	3.188072686e-23
14	0.252024	18.57025297	None	7.41639322e-07	2.942732922e-06	4.037374105e-23	0.9999970573	6.275954806e-07	0.2132689746	0.5310703557	5.553982925e-22
15	0.262188	46.26914661	None	3.105719451e-07	1.184539129e-06	-1.008745335e-23	0.9999988155	2.751567634e-07	0.2322898672	0.5316596272	8.389243092e-22
16	0.295684	11.7620467	None	2.604452382e-07	8.808228996e-07	-9.224511409e-24	0.9999991192	1.888250989e-07	0.214373323	0.6240970373	1.527393626e-23
17	0.29872	11.97940199	None	2.236013591e-07	7.485315985e-07	0	0.9999992515	1.655099787e-07	0.2211127171	0.6241125188	1.650517195e-23
18	0.29364	30.90233172	None	8.781798989e-08	2.990668502e-07	9.371971075e-24	0.9999997009	7.74842692e-08	0.2590867118	0.6071761435	4.073260668e-22
19	0.295284	26.86706949	None	7.404603314e-08	2.507620905e-07	2.341440216e-24	0.9999997492	6.483647933e-08	0.2585576769	0.6078786752	3.954103106e-22
20	0.337924	10.97285311	None	3.589529185e-09	1.062229728e-08	2.019182142e-24	0.9999999894	2.589114534e-09	0.2437433833	0.6233944702	4.023102011e-23
21	0.339772	13.81772407	None	4.268599244e-09	1.256312835e-08	1.874382272e-24	0.9999999874	2.912663602e-09	0.2318422077	0.6237224703	4.30502815e-23
22	0.350484	22.56040447	None	2.886497901e-10	8.235747998e-10	1.857470657e-24	0.9999999992	2.530469435e-10	0.3072543218	0.6074324672	3.171608656e-21
23	0.351972	26.96197719	None	2.951444283e-10	8.385451921e-10	1.850425864e-24	0.9999999992	2.636453663e-10	0.3144082777	0.6062266283	4.271413158e-21
24	0.293468	852.2771084	None	4.792345803e-08	1.633004553e-07	2.505059149e-24	0.9999998367	4.489174063e-08	0.2749026818	0.5383266214	3.190441308e-21
25	0.295112	48.38169492	None	4.347227681e-08	1.473077232e-07	-2.501236889e-24	0.9999998527	4.030890702e-08	0.2736373928	0.5398546805	4.228205014e-21
26	0.302684	None	None	2.160526713e-08	7.137895341e-08	2.52170859e-24	0.9999999286	2.174973117e-08	0.3047078958	0.5317205961	6.123959924e-20
27	0.303932	None	None	1.802349156e-08	5.930106589e-08	1.895484574e-24	0.9999999407	1.784784605e-08	0.3009700497	0.529515152	6.88031562e-20
28	0.367692	18.1899201	None	1.239226443e-10	3.370283943e-10	1.951719329e-24	0.9999999997	1.140000766e-10	0.3382501965	0.5410715491	3.913447525e-20
29	0.3684	None	None	1.644690047e-10	4.464413809e-10	1.945832348e-24	0.9999999996	1.444852801e-10	0.3236378139	0.5390767919	3.60312939e-20
30	0.391304	None	None	1.892666791e-11	4.836819432e-11	1.964570394e-24	1	1.842231455e-11	0.3808732774	0.5326420434	4.790370082e-18
31	0.394264	None	None	1.95412541e-11	4.95638813e-11	1.970270197e-24	1	1.866851992e-11	0.3766577942	0.5291407134	4.586555046e-18
32	0.16152	8.686414254	None	0.0003498844143	0.002166198702	0	0.9978338013	0.00021773835	0.1002985947	0.5881555936	3.634339311e-24
33	0.163844	9.449653193	None	0.0002564419107	0.001565158997	-9.748964707e-21	0.998434841	0.0001663565805	0.1061209796	0.5906678936	4.286932854e-24
34	0.164112	8.918864097	None	0.0003414026713	0.002080302911	1.002778426e-20	0.9979196971	0.0002104116986	0.1009343291	0.5615625523	1.667001798e-23
35	0.166484	9.466587957	None	0.0002440302111	0.00146578777	0	0.9985342122	0.0001579253254	0.1075829964	0.5604984113	2.054043507e-23
36	0.189796	9.695214106	None	7.064377564e-06	3.722089804e-05	0	0.9999627791	5.330809969e-06	0.1432155545	0.5895544879	1.006480984e-23
37	0.195852	8.871497945	None	4.007336423e-06	2.046104417e-05	0	0.999979539	3.14132917e-06	0.1535241735	0.5870382173	1.392827877e-23
38	0.202068	9.981024281	None	4.823663304e-06	2.387148536e-05	0	0.9999761285	3.580355931e-06	0.149981051	0.5587138982	1.047147349e-22
39	0.208808	12.15820029	None	2.25104223e-06	1.078044055e-05	-7.864826887e-23	0.9999892196	1.817533152e-06	0.1685936255	0.5575469591	1.421104483e-22
40	0.17376	7.821288515	None	0.0002965595301	0.001706719211	0	0.9982932808	0.0001855822347	0.1085506607	0.5349988433	1.158435324e-23
41	0.178516	8.696736266	None	0.0002091011242	0.001171329876	0	0.9988286701	0.0001354330637	0.1154878994	0.5323312482	1.544571536e-23
42	0.177972	8.113813414	None	0.0002834672806	0.001592763359	0	0.9984072366	0.0001767833936	0.1108148417	0.5117997676	1.061088493e-22
43	0.182908	8.326988961	None	0.0002012022224	0.001100018711	-1.052410997e-20	0.9988999813	0.0001291989161	0.1173223634	0.5132769945	1.415860935e-22
44	0.235664	12.54363596	None	1.674445788e-06	7.105225187e-06	8.065944636e-23	0.9999928948	1.252754235e-06	0.1763132485	0.5321551549	4.765861004e-22
45	0.2461	15.65223132	None	7.273464731e-07	2.955491561e-06	0	0.9999970445	5.72196083e-07	0.1936037984	0.5316593763	7.366705748e-22
46	0.260156	21.05754433	None	7.690523046e-07	2.956119807e-06	2.062757224e-23	0.9999970439	5.972923461e-07	0.2020522237	0.509801968	1.73533825e-20
47	0.271772	17.3927428	None	3.441877346e-07	1.266457673e-06	0	0.9999987335	2.804500588e-07	0.2214441987	0.5099753248	2.755749662e-20
48	0.293636	16.53932584	None	1.604217143e-07	5.463284961e-07	9.55663726e-24	0.9999994537	1.263970895e-07	0.2313571808	0.586676609	8.359212164e-22
49	0.29658	15.88256228	None	1.500371412e-07	5.05890961e-07	0	0.9999994941	1.144439343e-07	0.2262224191	0.5877152746	9.221421894e-22
50	0.294808	33.04450626	None	5.513572804e-08	1.870224961e-07	2.457624023e-24	0.999999813	5.117283898e-08	0.2736185794	0.5576021725	2.4741406e-20
51	0.299888	59.84385382	None	5.010739992e-08	1.670870456e-07	-2.45985682e-24	0.9999998329	4.530314718e-08	0.2711349597	0.5566793819	3.142687755e-20
52	0.340912	21.77971474	None	1.472172009e-09	4.318334377e-09	1.905996185e-24	0.9999999957	1.096904347e-09	0.2540109786	0.5855097262	3.710268916e-21
53	0.3422	11.48023304	None	1.689558574e-09	4.937342413e-09	1.790618771e-24	0.9999999951	1.263902869e-09	0.255988475	0.5874041514	4.178989974e-21
54	0.36138	36.62845188	None	1.132040282e-10	3.132548238e-10	1.922148563e-24	0.9999999997	1.04562658e-10	0.3337940004	0.5590142395	4.665540323e-19
55	0.365588	34.22648084	None	1.14624566e-10	3.135348152e-10	1.924441212e-24	0.9999999997	1.08079001e-10	0.3447109345	0.5578016239	5.554499429e-19
56	0.300008	None	None	2.882230722e-08	9.607179547e-08	2.518796281e-24	0.9999999039	2.867303133e-08	0.2984541823	0.5328702817	6.776836728e-20
57	0.301784	561.372093	None	2.555995439e-08	8.469618796e-08	3.772046465e-24	0.9999999153	2.486391832e-08	0.2935659503	0.5344924646	6.464682105e-20
58	0.314372	None	None	1.817785751e-08	5.782276256e-08	3.234861021e-24	0.9999999422	1.756586825e-08	0.303788101	0.5062402964	1.317602208e-18
59	0.314968	None	None	1.388993458e-08	4.409951035e-08	1.933478376e-24	0.9999999559	1.38555167e-08	0.3141875247	0.5099817888	1.409222765e-18
