# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.239132	11.55657007	3.47031775	7.664655446e-06	3.205025735e-05	4.133051536e-10	0.9999679493	6.180944407e-06	0.1928368383	0.4583440612	1.452232538e-05
1	0.397692	36.74311927	23.88065844	7.256777005e-11	1.824722902e-10	1.615113719e-21	0.9999999998	6.545799448e-11	0.35872768	0.4625379333	9.992044948e-12
2	0.268376	14.41681574	4.020340193	5.515032722e-06	2.054964901e-05	1.206024809e-13	0.9999794504	4.063416909e-06	0.1977324929	0.4622005349	6.631830016e-09
3	0.427852	None	26.10057075	4.321193256e-11	1.009973836e-10	3.729024151e-23	0.9999999999	3.637914936e-11	0.3602008556	0.4565237674	3.917278378e-13
4	0.271092	16.49206349	4.007100256	1.225449574e-06	4.520398539e-06	5.693459548e-12	0.9999954796	9.207802778e-07	0.2036927289	0.4577819211	1.417684321e-06
5	0.420076	80.82193959	18.06164199	7.040875359e-12	1.676095601e-11	8.316555695e-23	1	6.23188829e-12	0.3718107652	0.4605734479	5.458126702e-12
6	0.315072	16.72084806	5.871886121	4.668272864e-07	1.481652721e-06	2.944459759e-16	0.9999985183	3.435883928e-07	0.2318950177	0.459747398	2.240767979e-10
7	0.453404	None	28.36993699	3.196325734e-12	7.049619619e-12	3.921142936e-24	1	2.732099906e-12	0.3875438629	0.4597797189	2.925534617e-13
8	0.377076	122.5913396	8.736477452	7.59658677e-08	2.014603626e-07	1.627678975e-18	0.9999997985	6.260568347e-08	0.3107592451	0.4418093693	8.965028195e-12
9	0.443992	None	160.4178168	2.565059323e-11	5.777264732e-11	2.486223241e-23	0.9999999999	2.090965304e-11	0.3619272671	0.4367216048	4.345187651e-13
10	0.400456	74.86352941	15.22673584	1.782421234e-08	4.45097897e-08	6.968287231e-20	0.9999999555	1.657277089e-08	0.372339883	0.4186997649	1.700903141e-12
11	0.462852	None	None	9.016581954e-12	1.94804861e-11	8.759192172e-24	1	8.097735439e-12	0.4156735417	0.4246236491	3.700931246e-13
12	0.412016	67.21588595	17.69756481	5.661031045e-09	1.373983303e-08	1.56775542e-20	0.9999999863	4.781426478e-09	0.3479974103	0.4411877198	1.265224316e-12
13	0.465128	154.5734072	69.1793722	1.831459049e-12	3.93753773e-12	3.332683925e-24	1	1.587565788e-12	0.4032009429	0.4377138739	3.365842509e-13
14	0.443204	None	61.17191977	1.016142175e-09	2.292718873e-09	9.147001395e-22	0.9999999977	8.452218362e-10	0.3686547351	0.4175439246	4.319710873e-13
15	0.490448	None	None	8.960791317e-13	1.827062465e-12	2.999436384e-24	1	7.863840076e-13	0.4304625626	0.419475066	4.937392908e-13
16	0.331848	27.52892562	6.053124634	1.906101872e-08	5.743900277e-08	5.234127222e-16	0.9999999426	1.500871842e-08	0.2612983552	0.4588189181	1.026637992e-08
17	0.430692	None	43.1314155	6.845275415e-12	1.589366744e-11	3.356438132e-23	1	5.910548685e-12	0.3718703262	0.4624606938	2.238471815e-12
18	0.373552	28.11668758	10.07584094	6.676478559e-09	1.787295627e-08	1.248185365e-19	0.9999999821	5.278169108e-09	0.2953159429	0.4588694874	7.868193995e-12
19	0.457532	None	43.93763139	3.691846002e-12	8.069044355e-12	3.77313629e-24	1	3.188380067e-12	0.3951596232	0.4584846183	2.343158445e-13
20	0.367876	50.14091681	8.937811247	1.392621042e-10	3.785571869e-10	4.529748696e-19	0.9999999996	1.179044556e-10	0.3114571766	0.4586186842	1.347855607e-09
21	0.4582	54.15625	65.57861635	7.521781602e-13	1.64159354e-12	5.847194608e-24	1	6.776434326e-13	0.4128184703	0.4615254533	2.585532864e-12
22	0.423816	41.10666667	27.92143306	1.953437746e-11	4.609164699e-11	4.379097053e-23	1	1.621317064e-11	0.351761198	0.461724916	1.0219736e-12
23	0.491172	39.55737705	None	4.319460046e-13	8.794190315e-13	2.350078192e-24	1	3.779017555e-13	0.4297381613	0.4552092348	3.184499515e-13
24	0.41984	26.5661823	19.65883735	1.182736547e-09	2.817112584e-09	2.510181589e-21	0.9999999972	9.238861273e-10	0.3279550501	0.4387976215	9.852352227e-13
25	0.46382	104.6404494	None	3.163154275e-12	6.819788442e-12	4.202202634e-24	1	2.772630729e-12	0.4065300501	0.4376581022	3.352760292e-13
26	0.450776	None	28.64426341	2.204351724e-10	4.890126634e-10	2.657524709e-22	0.9999999995	1.856972668e-10	0.3797391135	0.4223193122	5.876193008e-13
27	0.491528	None	101.7247387	1.50802875e-12	3.068042411e-12	4.729738988e-24	1	1.265850797e-12	0.4125282765	0.4167284368	9.030257682e-13
28	0.45154	None	34.16978067	7.545539467e-12	1.671067783e-11	8.552540671e-24	1	6.436627952e-12	0.3851806057	0.4395838189	4.255322945e-13
29	0.494104	779.6666667	848.1824818	5.609270507e-13	1.135240862e-12	2.604579636e-24	1	4.799076465e-13	0.4228709977	0.4390290906	4.613566875e-13
30	0.489712	None	None	1.424038173e-12	2.907909491e-12	4.03132638e-24	1	1.233556912e-12	0.4242497329	0.4182532543	6.943620134e-13
31	0.530148	195.2857143	32.59987948	4.506856341e-13	8.501128631e-13	4.13410832e-24	1	3.626502426e-13	0.42679143	0.4151598424	2.49142271e-12
32	0.376108	None	9.460193281	7.900916459e-08	2.100704175e-07	5.457760111e-19	0.9999997899	7.046728313e-08	0.3354459406	0.4421920706	2.883855974e-12
33	0.439272	None	36.8589045	3.063274907e-11	6.973526442e-11	2.533876981e-23	0.9999999999	2.730926135e-11	0.3916134281	0.4441188752	3.701788466e-13
34	0.3996	189.3881188	10.76587796	3.115861744e-08	7.797451811e-08	9.781450144e-20	0.999999922	2.708762351e-08	0.3473906996	0.4198257865	1.364337673e-12
35	0.464544	100.2432432	207.0703518	1.43542081e-11	3.089956625e-11	1.849670988e-23	1	1.228886729e-11	0.3977025605	0.4202864807	5.749846191e-13
