# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.193144	18.48076923	None	2.583429516e-06	1.337566539e-05	0	0.9999866243	2.777280995e-06	0.2076340702	0.635498917	5.032429888e-23
1	0.404064	256.6190476	None	5.945572688e-11	1.471443308e-10	1.830957891e-24	0.9999999999	5.035293735e-11	0.3422018013	0.6214427703	2.055937459e-19
2	0.397508	None	None	1.429060179e-08	3.595047594e-08	1.270965946e-23	0.999999964	1.268113787e-08	0.3527390664	0.4241884305	3.126157346e-16
3	0.4577	55.18345865	None	7.061509869e-12	1.542824966e-11	2.911613645e-24	1	6.409534099e-12	0.4154417842	0.4215026001	5.267900188e-14
4	0.219036	21.30322581	None	2.456170553e-07	1.121354733e-06	-1.825685616e-23	0.9999988786	2.692362574e-07	0.2400988268	0.635398542	5.424641474e-23
5	0.429604	39.06524184	None	1.217637621e-11	2.834325613e-11	1.830445512e-24	1	1.000101297e-11	0.3528489797	0.6210817238	4.492445393e-19
6	0.429456	None	None	4.18482451e-10	9.744477921e-10	7.628311271e-24	0.999999999	3.873621859e-10	0.3975196467	0.4223186153	6.089192796e-15
7	0.492412	None	None	2.008695546e-12	4.079298527e-12	4.014766734e-24	1	1.637253881e-12	0.4013819792	0.419252582	4.915365006e-13
8	0.196088	20.19586741	None	2.180927325e-06	1.112218659e-05	0	0.9999888778	2.377743931e-06	0.2137814776	0.635215386	5.47207342e-23
9	0.403348	34.00315236	None	4.767905088e-11	1.182082244e-10	1.828003594e-24	0.9999999999	4.300190288e-11	0.3637821868	0.6205272528	2.686594075e-19
10	0.397572	97.6899384	None	1.224804943e-08	3.08071228e-08	1.348326631e-23	0.9999999692	1.106932118e-08	0.3593104291	0.4196538096	3.687030588e-16
11	0.459148	273.9552239	None	8.370326611e-12	1.823012756e-11	3.312758093e-24	1	7.504332884e-12	0.4116383411	0.4189516021	6.805522867e-14
12	0.222884	53.608	None	2.098360979e-07	9.414587765e-07	0	0.9999990585	2.264019421e-07	0.2404797052	0.6351145602	6.169701417e-23
13	0.43194	33.20447284	None	1.15198945e-11	2.667012664e-11	1.832011861e-24	1	9.494381405e-12	0.3559856819	0.6201653567	5.64264803e-19
14	0.435368	None	None	3.95172324e-10	9.076742526e-10	8.67484988e-24	0.9999999991	3.543919274e-10	0.3904397089	0.4192518428	7.745858945e-15
15	0.49376	203.3561644	150.7898833	1.786495437e-12	3.618145328e-12	4.253836251e-24	1	1.494440035e-12	0.4130182886	0.4175899341	6.24103549e-13
16	0.299852	None	None	3.963834692e-09	1.321930383e-08	1.998273359e-24	0.9999999868	3.928612185e-09	0.2971875152	0.6346226427	3.079873944e-22
17	0.447924	47.83443709	None	1.493119979e-11	3.333422587e-11	1.831333517e-24	1	1.162510003e-11	0.3487383595	0.6202315871	2.381714386e-18
18	0.442552	924.3684211	None	7.608205419e-11	1.71916643e-10	5.685376612e-24	0.9999999998	6.851725017e-11	0.3985489172	0.4223069152	2.236004894e-14
19	0.491868	37.1734758	None	1.700869421e-12	3.457979419e-12	4.595491336e-24	1	1.493850837e-12	0.4320199518	0.4153287265	7.572280851e-13
20	0.352876	376.7168142	None	5.090614161e-11	1.44260708e-10	1.81334524e-24	0.9999999999	5.041494332e-11	0.3494699571	0.6345151987	7.149454248e-22
21	0.530356	8.454364685	None	1.283904156e-10	2.420834601e-10	1.833656822e-24	0.9999999998	6.067456359e-11	0.2506349523	0.6198646954	4.159033255e-18
22	0.490796	None	94.22632424	1.931819597e-12	3.936094827e-12	4.392653021e-24	1	1.636930807e-12	0.4158723048	0.4193539501	6.139400805e-13
23	0.549628	21.74843801	36.97862487	7.91697545e-12	1.440424332e-11	4.35534943e-23	1	5.26689967e-12	0.3656490598	0.4142850201	3.10810404e-12
24	0.29998	None	None	3.323132334e-09	1.10778463e-08	1.71341881e-24	0.9999999889	3.356188396e-09	0.30296396	0.6342348997	3.453398071e-22
25	0.449068	22.46317104	None	1.512016754e-11	3.367010684e-11	1.834349419e-24	1	1.139621021e-11	0.3384669184	0.619130493	3.044746386e-18
26	0.445592	None	None	8.604739409e-11	1.931080318e-10	8.478874978e-24	0.9999999998	7.708310335e-11	0.399171531	0.4164994455	3.537140213e-14
27	0.493336	None	None	1.719986917e-12	3.486441121e-12	4.890518273e-24	1	1.485841974e-12	0.4262003701	0.4166168769	8.444918029e-13
28	0.356544	289.972973	None	5.250380705e-11	1.472575812e-10	1.81622766e-24	0.9999999999	4.906958792e-11	0.3332231646	0.634126223	8.209403979e-22
29	0.526384	12.013996	None	8.823992564e-11	1.676341333e-10	1.837827343e-24	0.9999999998	4.493786265e-11	0.2680708895	0.6187521831	5.361578559e-18
30	0.491968	None	None	2.017812423e-12	4.101511527e-12	5.031444439e-24	1	1.652975003e-12	0.4029977798	0.415260079	7.534086604e-13
31	0.550868	22.77175219	None	7.383763658e-12	1.340387109e-11	5.995426611e-23	1	4.995261254e-12	0.3726621511	0.4117957792	4.652923709e-12
32	0.19738	22.67816092	None	2.074378129e-06	1.050956596e-05	0	0.9999894904	2.192162645e-06	0.2085851704	0.6285737151	6.516752442e-23
33	0.402836	128.4482759	None	4.890276659e-11	1.213962173e-10	1.840837436e-24	0.9999999999	4.43308616e-11	0.3651741567	0.6156873174	3.075169056e-19
34	0.3991	None	None	1.492687493e-08	3.740134033e-08	1.554114165e-23	0.9999999626	1.296974063e-08	0.3467720701	0.4237741059	3.697382993e-16
35	0.460168	70.30268199	None	7.288883708e-12	1.583961446e-11	2.947675904e-24	1	6.282447832e-12	0.3966340258	0.4223195566	5.393325515e-14
36	0.22472	23.40970117	None	2.135118698e-07	9.5012402e-07	9.187223743e-24	0.9999990499	2.224261382e-07	0.234101993	0.6284565015	7.611881017e-23
37	0.43274	None	None	1.021022309e-11	2.359435941e-11	1.839262127e-24	1	8.862927646e-12	0.3756462422	0.615284395	6.111785026e-19
38	0.43506	None	None	4.316045201e-10	9.920574636e-10	8.350192144e-24	0.999999999	3.747583277e-10	0.3777588093	0.420767853	6.752858188e-15
39	0.492388	194.3355155	None	1.77686721e-12	3.608672855e-12	4.315284969e-24	1	1.471388191e-12	0.4077032226	0.4203822534	6.475171318e-13
40	0.2002	27.6146789	None	1.819343911e-06	9.087631923e-06	0	0.9999909124	1.95526604e-06	0.2151548706	0.6279734878	7.201295968e-23
41	0.403232	None	None	4.481792811e-11	1.111467545e-10	1.83847947e-24	0.9999999999	4.016758868e-11	0.3613908937	0.6144210232	3.320199818e-19
42	0.404348	30.27638191	None	1.228595978e-08	3.038461866e-08	1.628788653e-23	0.9999999696	1.123373955e-08	0.3697179597	0.4215331832	4.823505912e-16
43	0.461668	64.6546091	None	6.368650589e-12	1.379487118e-11	3.120554226e-24	1	5.820698528e-12	0.4219450256	0.4166741487	7.43260852e-14
44	0.227588	62.44217687	None	1.76149636e-07	7.739847267e-07	0	0.999999226	1.851497066e-07	0.2392160438	0.6278419104	8.747836213e-23
45	0.431468	144.3360996	None	9.089042494e-12	2.106539186e-11	1.840342454e-24	1	7.909034193e-12	0.3754607976	0.6140001117	6.957387317e-19
46	0.437336	40.49107836	None	3.586018212e-10	8.199686768e-10	9.731889159e-24	0.9999999992	3.152599944e-10	0.3844778794	0.4179290798	9.972697261e-15
47	0.496936	178.8099548	None	1.908676134e-12	3.840889237e-12	5.131243364e-24	1	1.587988143e-12	0.4134623303	0.4145067507	8.317257271e-13
48	0.302176	906.4	None	3.108866296e-09	1.028826345e-08	1.868181455e-24	0.9999999897	3.183386952e-09	0.3094192597	0.6272867155	4.49502267e-22
49	0.449712	41.28768171	None	1.247336143e-11	2.773633221e-11	1.84036035e-24	1	9.520758856e-12	0.3432619893	0.6139897503	3.276220661e-18
50	0.441992	None	None	8.333353482e-11	1.885408216e-10	7.994993288e-24	0.9999999998	7.298150244e-11	0.3870865743	0.4183591073	3.357829176e-14
51	0.494044	71.72154964	None	1.791637552e-12	3.626473657e-12	5.123765215e-24	1	1.511983512e-12	0.4169680804	0.4138785506	8.777886117e-13
52	0.355584	193.8668172	None	4.702353217e-11	1.322431048e-10	1.823505561e-24	0.9999999999	4.439752876e-11	0.3357254409	0.6271494807	1.202942692e-21
53	0.529852	8.75787728	None	1.134575623e-10	2.141306672e-10	1.842207998e-24	0.9999999998	5.436080273e-11	0.2538681679	0.6135785511	5.815324203e-18
54	0.490468	None	83.05128205	2.077523926e-12	4.235799126e-12	5.369102756e-24	1	1.704375643e-12	0.4023831954	0.4148397498	8.154181141e-13
55	0.55266	22.27768428	59.15756182	7.281250062e-12	1.317491778e-11	4.989605492e-23	1	4.977473225e-12	0.3777899753	0.4140696855	3.918197369e-12
56	0.303048	36.96367306	None	2.752376733e-09	9.082312811e-09	1.725549733e-24	0.9999999909	2.809557388e-09	0.3093438326	0.6266159004	5.185914402e-22
57	0.449124	49.41969627	None	1.235959264e-11	2.75193324e-11	1.843331751e-24	1	9.147419512e-12	0.3323972185	0.6126005929	3.735347657e-18
58	0.444768	None	None	7.979044768e-11	1.793979056e-10	8.744932057e-24	0.9999999998	7.158745956e-11	0.3990438153	0.4157436743	3.968377725e-14
59	0.494404	None	None	1.813506807e-12	3.668066615e-12	6.235212509e-24	1	1.501160129e-12	0.4092132686	0.4128730071	1.193863252e-12
60	0.35884	197.7231121	None	3.785452639e-11	1.054913789e-10	1.822420834e-24	0.9999999999	3.625474136e-11	0.3436731542	0.6264633136	1.423364585e-21
61	0.524316	10.55736194	None	8.146828266e-11	1.553801194e-10	1.84466498e-24	0.9999999998	4.261936782e-11	0.2742901836	0.6121597131	8.297514715e-18
