# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.472604	None	None	2.706934349e-24	1.369082329e-24	2.059900564e-24	1	4.493537295e-22	0.7183635824	0.4774496905	8.398082246e-19
1	0.475448	None	None	2.717142567e-24	1.381302853e-24	2.060404888e-24	1	7.271715059e-22	0.7117643264	0.4771693662	6.792090737e-19
2	0.475152	None	None	2.720357589e-24	1.365524042e-24	2.071526109e-24	1	5.462695497e-22	0.7145500404	0.4710224291	5.478606686e-19
3	0.478136	None	None	2.730960046e-24	1.37926969e-24	2.071481553e-24	1	9.169069804e-22	0.7074504873	0.4710469244	4.778394827e-19
4	0.475212	None	None	2.717406196e-24	1.380261214e-24	2.061489504e-24	1	4.154669617e-21	0.7117767057	0.476566957	8.132521561e-19
5	0.478464	None	None	2.729178934e-24	1.392592617e-24	2.0628735e-24	1	6.990661049e-21	0.7048102406	0.4757991885	6.778464375e-19
6	0.478488	None	None	2.733857939e-24	1.375459872e-24	2.075716895e-24	1	6.228438729e-21	0.7073536935	0.4687231786	5.218623239e-19
7	0.482048	None	None	2.746573282e-24	1.382208566e-24	2.080282408e-24	1	1.113688183e-20	0.7016942026	0.4662288801	5.588490751e-19
8	0.55278	None	None	2.9581716e-24	1.524942407e-24	2.115213937e-24	1	2.894365222e-19	0.6207186541	0.4475009275	4.621011469e-20
9	0.554184	None	None	2.979380087e-24	1.560899124e-24	2.114354767e-24	1	3.46244468e-19	0.6067874238	0.4479541337	5.36251923e-20
10	0.556324	None	None	3.013338916e-24	1.52813891e-24	2.163198565e-24	1	4.410414209e-19	0.5984506351	0.4227608671	9.45226137e-19
11	0.555328	None	None	2.997584219e-24	1.521026286e-24	2.152915734e-24	1	4.367062568e-19	0.6057637936	0.427969678	1.382271956e-18
12	0.551644	None	None	2.95592572e-24	1.529951726e-24	2.11193703e-24	1	2.136506958e-18	0.6201166514	0.4492314534	2.237664782e-19
13	0.551	None	None	2.964917331e-24	1.535206017e-24	2.119018816e-24	1	2.319164764e-18	0.6149137385	0.445498296	2.853167705e-19
14	0.555196	None	None	3.017586593e-24	1.549036736e-24	2.157567594e-24	1	4.253299614e-18	0.5928046024	0.4256071092	1.521688832e-17
15	0.555964	None	None	3.034500212e-24	1.581831664e-24	2.155058753e-24	1	4.28876778e-18	0.581573596	0.4268800227	2.131390084e-17
16	0.540876	None	None	2.995304461e-24	1.722070051e-24	2.063878101e-24	1	1.023924469e-16	0.569571869	0.4752425335	1.96061753e-18
17	0.54146	None	None	3.008229875e-24	1.743650974e-24	2.064112619e-24	1	1.509948138e-16	0.5624325391	0.4751126638	2.365048591e-18
18	0.539696	None	None	3.011802334e-24	1.725786881e-24	2.080402057e-24	1	8.803897931e-17	0.5619510989	0.4661636587	1.862784489e-17
19	0.542796	None	None	2.985264674e-24	1.651382954e-24	2.088900612e-24	1	1.043696973e-16	0.5838333458	0.4615501714	1.934114943e-17
20	0.556324	None	None	9.178094331e-16	1.649775007e-15	2.062353546e-24	1	1.023595938e-15	0.5383633628	0.4760875003	5.438944301e-18
21	0.560156	None	None	1.884407571e-15	3.364076381e-15	2.062124252e-24	1	1.695248956e-15	0.5280370121	0.4762146851	5.799631389e-18
22	0.559928	None	None	4.452674831e-16	7.952227448e-16	2.090278061e-24	1	6.175566738e-16	0.5584463142	0.4608059703	8.185590433e-17
23	0.561768	None	None	9.465730218e-16	1.684989212e-15	2.081303729e-24	1	8.513561498e-16	0.5271122297	0.4656724385	1.008064446e-16
24	0.551908	None	None	2.972587633e-24	1.564897221e-24	2.108908337e-24	1	1.952083178e-17	0.6075613864	0.4508356804	1.729289573e-17
25	0.552124	None	None	3.006208029e-24	1.613294366e-24	2.115469491e-24	1	2.529372309e-17	0.5866192541	0.4473661954	1.665272525e-17
26	0.556436	None	None	3.033631811e-24	1.564160884e-24	2.163276385e-24	1	2.980420636e-17	0.5846353414	0.4227216358	1.625666535e-15
27	0.55648	None	None	3.040734105e-24	1.567407378e-24	2.168503247e-24	1	2.970469292e-17	0.5811974648	0.4200930737	2.1578379e-15
28	0.567496	None	None	4.587294149e-16	8.083394646e-16	2.118016982e-24	1	4.026035071e-16	0.5493845473	0.4460249156	6.654396798e-17
29	0.571352	None	None	4.623647451e-16	8.092467393e-16	2.120161972e-24	1	6.349298548e-16	0.5487686131	0.4448980637	9.58119671e-17
30	0.576388	None	None	4.675148259e-16	8.111113066e-16	2.161905063e-24	1	4.841598999e-16	0.5475071142	0.4234217087	2.224285062e-14
31	0.576732	None	None	4.720355517e-16	8.184660285e-16	2.169619038e-24	1	6.253261857e-16	0.5425872245	0.419542836	2.455179293e-14
32	0.489156	None	None	2.777481172e-24	1.360730981e-24	2.111871448e-24	1	1.545722619e-21	0.6972666536	0.449266142	4.011726926e-18
33	0.493152	None	None	2.793251118e-24	1.381207126e-24	2.112106062e-24	1	2.652700383e-21	0.6868163675	0.4491420569	4.378014209e-18
34	0.494448	None	None	2.816189257e-24	1.327520054e-24	2.159799622e-24	1	2.065457026e-21	0.6906001446	0.4244771283	2.890213651e-17
35	0.49854	None	None	2.83568273e-24	1.333456879e-24	2.170901138e-24	1	3.646996265e-21	0.6819657082	0.418891422	3.270661002e-17
36	0.497844	None	None	2.812320358e-24	1.403641682e-24	2.113525769e-24	1	3.168477725e-20	0.6751634564	0.4483917745	8.463842999e-18
37	0.502264	None	None	2.821862393e-24	1.417269552e-24	2.110018919e-24	1	5.428085433e-20	0.670323771	0.450246897	8.774504625e-18
38	0.507552	None	None	2.859175325e-24	1.376466251e-24	2.160547126e-24	1	7.064457586e-20	0.6656802167	0.4240992204	1.06014926e-16
39	0.51182	None	None	2.877104243e-24	1.390019927e-24	2.165664244e-24	1	1.275458827e-19	0.6567309464	0.4215192194	1.161246108e-16
40	0.569984	None	None	3.056554511e-24	1.567083569e-24	2.163341949e-24	1	1.034855608e-18	0.5835170286	0.4226885853	1.750857902e-18
41	0.56922	None	None	3.06260975e-24	1.590819464e-24	2.157083494e-24	1	1.141293715e-18	0.5774378629	0.4258524968	2.195585501e-18
42	0.575748	None	None	3.126263312e-24	1.564246432e-24	2.225651558e-24	1	1.708460907e-18	0.5579741806	0.3921589244	6.7655623e-17
43	0.574188	None	None	3.122991801e-24	1.5590402e-24	2.227809627e-24	1	1.923792295e-18	0.5589130713	0.3911321397	7.866874286e-17
44	0.565324	None	None	3.050797366e-24	1.567650152e-24	2.164567111e-24	1	9.240687738e-18	0.5827842229	0.4220713558	4.049273116e-17
45	0.56338	None	None	3.030686283e-24	1.54911371e-24	2.157946601e-24	1	9.762956581e-18	0.5926117601	0.4254150689	3.894357014e-17
46	0.56988	None	None	3.097896127e-24	1.524245854e-24	2.229258899e-24	1	1.985668869e-17	0.5710365614	0.390443708	3.292651897e-15
47	0.570964	None	None	3.08966075e-24	1.499737539e-24	2.233364606e-24	1	1.888343125e-17	0.578540089	0.3884982715	4.166277697e-15
48	0.540144	None	None	3.01955239e-24	1.672042523e-24	2.116408654e-24	1	9.703063348e-17	0.5656329576	0.4468713335	1.006187226e-16
49	0.540704	None	None	3.017480188e-24	1.662502525e-24	2.118558423e-24	1	1.085814513e-16	0.5680152127	0.445740233	1.077474442e-16
50	0.548384	None	None	3.036318965e-24	1.581683889e-24	2.168948828e-24	1	8.672490613e-17	0.5757633614	0.4198695796	5.068589293e-15
51	0.547728	None	None	3.034244667e-24	1.574698833e-24	2.171738024e-24	1	1.031267801e-16	0.577134476	0.418472659	5.470998252e-15
52	0.558664	None	None	9.043541234e-16	1.61878002e-15	2.121098693e-24	1	7.050446719e-16	0.5486714745	0.4444068853	3.42458119e-16
53	0.560412	None	None	9.443093746e-16	1.685027038e-15	2.113248287e-24	1	1.091713836e-15	0.527100397	0.4485386431	4.056496933e-16
54	0.567628	None	None	4.683722651e-16	8.251394627e-16	2.17258538e-24	1	5.461648441e-16	0.5381989722	0.4180611607	3.205957143e-14
55	0.569108	None	None	9.419186975e-16	1.655078993e-15	2.174195826e-24	1	7.090887109e-16	0.5366380847	0.4172790156	4.507940043e-14
56	0.558408	None	None	3.048583708e-24	1.582096065e-24	2.165128608e-24	1	3.233463248e-17	0.5772258866	0.4217887104	1.749915956e-15
57	0.558248	None	None	3.034344745e-24	1.547653513e-24	2.170370267e-24	1	3.26557197e-17	0.5878101118	0.4191572277	1.706489994e-15
58	0.56906	None	None	3.115235297e-24	1.532813172e-24	2.242972633e-24	1	7.310321793e-17	0.5618701559	0.3839734659	1.274125063e-13
59	0.568988	None	None	3.09731967e-24	1.49838811e-24	2.244754816e-24	1	7.472817331e-17	0.5739846807	0.3831384234	1.625626581e-13
60	0.57542	None	None	4.696750508e-16	8.162299687e-16	2.173411049e-24	1	6.473201591e-16	0.5440736407	0.4176396851	8.57789712e-15
61	0.576768	None	None	9.204354104e-16	1.595850339e-15	2.16618178e-24	1	8.533541132e-16	0.5565549595	0.4212646759	7.737355239e-15
62	0.588356	None	None	1.528971648e-15	2.598718542e-15	2.245350438e-24	1	1.234546007e-15	0.5126633028	0.3846095212	1.511953344e-12
63	0.589572	None	None	2.073992314e-15	3.517793096e-15	2.254308291e-24	1	1.589187517e-15	0.5049634221	0.381366445	1.718571957e-12
64	0.494628	None	None	2.775782201e-24	1.443277363e-24	2.061896805e-24	1	1.491579632e-19	0.6805107643	0.4763409009	8.440012846e-19
65	0.49736	None	None	2.780966187e-24	1.443610757e-24	2.062971941e-24	1	1.881661851e-19	0.6798562512	0.4757446178	8.52409353e-19
