norm	N	avg	std_err	num_recoveries
L1v-IS	40	20.73418	0.06696190585881946	100000
L1v-IS	50	25.67382	0.08283950440407174	100000
L1v-IS	60	30.86784	0.0990075429564837	100000
L1v-IS	70	35.94209	0.11492875206187073	100000
L1v-IS	80	40.73665	0.13037254978635512	100000
L1v-IS	90	45.75921	0.14710909731428537	100000
L1v-IS	100	50.90517	0.16264134743290146	100000
L1v-IS	110	55.44978	0.17707176659089435	100000
L1v-IS	120	60.9628	0.19560713837466345	100000
L1v-IS	130	65.91826	0.20973165392803947	100000
L1v-IS	140	70.94002	0.22620122566852513	100000
L1v-IS	150	76.00894	0.24157396834217415	100000
L1v-IS	160	80.44002	0.2557228147146367	100000
L1v-IS	170	85.65192	0.27202031165638546	100000
L1v-IS	180	91.10897	0.2902498313609101	100000
L1v-IS	190	96.00065	0.30582506173539215	100000
L1v-IS	200	100.25565	0.3175055867677798	100000
L2v-IS	10	10.77547	0.0339781269042661	100000
L2v-IS	20	20.72297	0.06529813077147274	100000
L2v-IS	30	30.67006	0.09657141738811859	100000
L2v-IS	40	40.50949	0.12785340341315796	100000
L2v-IS	50	50.76276	0.16014102417337997	100000
L2v-IS	60	60.71994	0.19108637629092567	100000
L2v-IS	70	70.68291	0.22361980077236546	100000
L2v-IS	80	80.80029	0.25489593244796893	100000
L2v-IS	90	90.52216	0.28592582853799287	100000
L2v-IS	100	100.73276	0.3183660032053476	100000
L2v-IS	110	110.65031	0.34893991583036527	100000
L2v-IS	120	121.04726	0.38195328424826647	100000
L2v-IS	130	131.06373	0.41479507113078895	100000
L2v-IS	140	140.52653	0.4456765984858265	100000
L2v-IS	150	150.82367	0.4782982237780441	100000
L2v-IS	160	160.72698	0.5071014217287402	100000
L2v-IS	170	170.47406	0.5395874479797433	100000
L2v-IS	180	180.23903	0.5672332249453574	100000
L2v-IS	190	190.9662	0.6048005515975259	100000
L2v-IS	200	200.22941	0.6333102546377319	100000
