1 3.59255 3.624
2 3.60625 3.6025
3 3.59756 3.63533
4 3.62508 3.642
5 3.62232 3.5972
6 3.60917 3.64467
7 3.61978 3.647
8 3.60645 3.65925
9 3.622 3.65533
10 3.615 3.6412
11 3.62263 3.66455
12 3.61344 3.63983
13 3.62229 3.65608
14 3.58894 3.65407
15 3.6234 3.6446
16 3.62693 3.66644
17 3.61492 3.67047
18 3.62217 3.66922
19 3.59736 3.64511
20 3.6217 3.66955
21 3.62633 3.6851
22 3.608 3.69255
23 3.588 3.68296
24 3.6205 3.69171
25 3.5866 3.68716
26 3.587 3.70569
27 3.609 3.69219
28 3.6165 3.70496
29 3.631 3.72031
