1 0.870103 0.911
2 0.865464 0.8775
3 0.850111 0.947667
4 0.862385 1.0025
5 0.8498 0.9894
6 0.861125 1.04683
7 0.860261 1.02943
8 0.8735 1.05087
9 0.880286 1.11
10 0.87025 1.1007
11 0.946053 1.27464
12 0.928222 1.28733
13 0.925706 1.37962
14 0.93275 1.42686
15 0.9538 1.55793
16 0.933429 1.575
17 0.967769 1.69241
18 1.03217 1.82967
19 1.05564 1.90863
20 1.1363 2.09445
21 1.12667 2.19162
22 1.15963 2.25105
23 1.15071 2.34909
24 1.255 2.48092
25 1.3128 2.57472
26 1.3885 2.671
27 1.4 2.77096
28 1.4905 2.92539
29 1.579 3.03783
